                                     | Core 0     | Core 1     | Core 2      | Core 3      | Core 4      | Core 5     
  Instructions                       |    9633472 |    4428457 |   424433531 |   393905714 |  1445480851 |     3805604
  Cycles                             |  898626080 |  898626080 |  1184552560 |  1184552560 |  1184552560 |  1184552560
  IPC                                |       0.01 |       0.00 |        0.36 |        0.33 |        1.22 |        0.00
  Time (ns)                          |  408466400 |  408466400 |   408466400 |   408466400 |   408466400 |   408466400
  Idle time (ns)                     |  404762433 |  406118797 |   158195645 |   350937497 |     7602394 |   407205303
  Idle time (%)                      |      99.1% |      99.4% |       38.7% |       85.9% |        1.9% |       99.7%
Branch predictor stats               |            |            |             |             |             |            
  num correct                        |    1273693 |     178876 |    21345567 |      602989 |   172801612 |      416190
  num incorrect                      |       7622 |        727 |        2754 |        9644 |     8118639 |        5266
  misprediction rate                 |      0.59% |      0.40% |       0.01% |       1.57% |       4.49% |       1.25%
  mpki                               |       0.79 |       0.16 |        0.01 |        0.02 |        5.62 |        1.38
TLB Summary                          |            |            |             |             |             |            
  I-TLB                              |            |            |             |             |             |            
    num accesses                     |    1522048 |     429954 |    32076368 |    22171518 |   164864994 |      545750
    num misses                       |        113 |         35 |          33 |          39 |          48 |          41
    miss rate                        |      0.01% |      0.01% |       0.00% |       0.00% |       0.00% |       0.01%
    mpki                             |       0.01 |       0.01 |        0.00 |        0.00 |        0.00 |        0.01
  D-TLB                              |            |            |             |             |             |            
    num accesses                     |    4800103 |    3861936 |   286161485 |    92143520 |   703483649 |     2054695
    num misses                       |      10326 |       5353 |        2810 |        8496 |       84639 |        1694
    miss rate                        |      0.22% |      0.14% |       0.00% |       0.01% |       0.01% |       0.08%
    mpki                             |       1.07 |       1.21 |        0.01 |        0.02 |        0.06 |        0.45
  L2 TLB                             |            |            |             |             |             |            
    num accesses                     |      10439 |       5388 |        2843 |        8535 |       84687 |        1735
    num misses                       |       3177 |       5325 |        2815 |        6344 |        5492 |        1137
    miss rate                        |     30.43% |     98.83% |      99.02% |      74.33% |       6.49% |      65.53%
    mpki                             |       0.33 |       1.20 |        0.01 |        0.02 |        0.00 |        0.30
Cache Summary                        |            |            |             |             |             |            
  Cache L1-I                         |            |            |             |             |             |            
    num cache accesses               |    1522048 |     429954 |    32076368 |    22171518 |   164864994 |      545750
    num cache misses                 |       2009 |        559 |        1121 |        2858 |       91465 |         830
    miss rate                        |      0.13% |      0.13% |       0.00% |       0.01% |       0.06% |       0.15%
    mpki                             |       0.21 |       0.13 |        0.00 |        0.01 |        0.06 |        0.22
  Cache L1-D                         |            |            |             |             |             |            
    num cache accesses               |    4800103 |    3861936 |   286161485 |    92143520 |   703483649 |     2054695
    num cache misses                 |     170385 |     334379 |      179143 |      188502 |    10016160 |       18789
    miss rate                        |      3.55% |      8.66% |       0.06% |       0.20% |       1.42% |       0.91%
    mpki                             |      17.69 |      75.51 |        0.42 |        0.48 |        6.93 |        4.94
  Cache L2                           |            |            |             |             |             |            
    num cache accesses               |     234561 |     384930 |      180783 |      194176 |    10111884 |       21426
    num cache misses                 |     160673 |     333596 |      177801 |      189420 |      276026 |       16892
    miss rate                        |     68.50% |     86.66% |      98.35% |      97.55% |       2.73% |      78.84%
    mpki                             |      16.68 |      75.33 |        0.42 |        0.48 |        0.19 |        4.44
  Cache L3                           |            |            |             |             |             |            
    num cache accesses               |     222844 |     383589 |      178456 |      192238 |      281526 |       18712
    num cache misses                 |     151820 |     332941 |      172944 |       12636 |       90037 |        3055
    miss rate                        |     68.13% |     86.80% |      96.91% |       6.57% |      31.98% |      16.33%
    mpki                             |      15.76 |      75.18 |        0.41 |        0.03 |        0.06 |        0.80
DRAM summary                         |            |            |             |             |             |            
  num dram accesses                  |    1072735 |          0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      61.85 |        inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       0.60 |       0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      0.00% |      0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |            |            |             |             |             |            
  num loads from dram                |      75694 |     215827 |      166439 |        7802 |        2863 |        2295
  num loads from dram cache          |          0 |          0 |           0 |           0 |           0 |           0
  num loads from remote cache        |          0 |          0 |           0 |           0 |           0 |           0
