                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    9495997 |   10088600 |    9971200 |    9927189
  Cycles                             |    6019600 |    6019600 |    6019600 |    6019600
  IPC                                |       1.58 |       1.68 |       1.66 |       1.65
  Time (ns)                          |    1504900 |    1504900 |    1504900 |    1504900
  Idle time (ns)                     |        293 |     232574 |     232920 |     233074
  Idle time (%)                      |       0.0% |      15.5% |      15.5% |      15.5%
Branch predictor stats               |            |            |            |           
  num correct                        |     641948 |    1053128 |    1023839 |    1010038
  num incorrect                      |       9285 |       2948 |       2877 |       2971
  misprediction rate                 |      1.43% |      0.28% |      0.28% |      0.29%
  mpki                               |       0.98 |       0.29 |       0.29 |       0.30
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1062552 |     922927 |     916373 |     916201
    num misses                       |        218 |         28 |         28 |         29
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4946075 |    4714631 |    4684098 |    4676951
    num misses                       |       2502 |        983 |       1041 |        920
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.26 |       0.10 |       0.10 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |       2720 |       1011 |       1069 |        949
    num misses                       |        623 |        200 |        200 |        172
    miss rate                        |     22.90% |     19.78% |     18.71% |     18.12%
    mpki                             |       0.07 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1062552 |     922927 |     916373 |     916201
    num cache misses                 |       7011 |        433 |        422 |        404
    miss rate                        |      0.66% |      0.05% |      0.05% |      0.04%
    mpki                             |       0.74 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4946075 |    4714631 |    4684098 |    4676951
    num cache misses                 |     168390 |     148287 |     146365 |     145615
    miss rate                        |      3.40% |      3.15% |      3.12% |      3.11%
    mpki                             |      17.73 |      14.70 |      14.68 |      14.67
  Cache L2                           |            |            |            |           
    num cache accesses               |     181739 |     152375 |     149519 |     146891
    num cache misses                 |      23422 |      15564 |      16660 |      15742
    miss rate                        |     12.89% |     10.21% |     11.14% |     10.72%
    mpki                             |       2.47 |       1.54 |       1.67 |       1.59
  Cache L3                           |            |            |            |           
    num cache accesses               |      34378 |      24110 |      23702 |      20471
    num cache misses                 |      14904 |       4552 |       4103 |       4091
    miss rate                        |     43.35% |     18.88% |     17.31% |     19.98%
    mpki                             |       1.57 |       0.45 |       0.41 |       0.41
DRAM summary                         |            |            |            |           
  num dram accesses                  |      27500 |          0 |          0 |          0
  average dram access latency (ns)   |     873.00 |        inf |        inf |        inf
  average dram queueing delay        |     811.75 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       6929 |        214 |        183 |        136
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
