                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |    6779794 |    6508928 |    6473484 |    6468240 |    6788916 |    6750772
  Cycles                             |    7363000 |    7363000 |    7363000 |    7363000 |    7363000 |    7363000
  IPC                                |       0.92 |       0.88 |       0.88 |       0.88 |       0.92 |       0.92
  Time (ns)                          |    7363000 |    7363000 |    7363000 |    7363000 |    7363000 |    7363000
  Idle time (ns)                     |        150 |     398018 |     399126 |     399917 |     400594 |     401331
  Idle time (%)                      |       0.0% |       5.4% |       5.4% |       5.4% |       5.4% |       5.5%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |     589686 |     578927 |     572995 |     570957 |     625440 |     614644
  num incorrect                      |       4488 |       1234 |       1390 |       1389 |       1711 |       1850
  misprediction rate                 |      0.76% |      0.21% |      0.24% |      0.24% |      0.27% |      0.30%
  mpki                               |       0.66 |       0.19 |       0.21 |       0.21 |       0.25 |       0.27
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |     510583 |     447733 |     437786 |     427524 |     420792 |     400801
    num misses                       |        117 |         24 |         24 |         22 |         24 |         22
    miss rate                        |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    2528510 |    2354568 |    2337096 |    2331335 |    2523342 |    2521356
    num misses                       |      10705 |       8720 |       9220 |       8343 |       8711 |       8243
    miss rate                        |      0.42% |      0.37% |      0.39% |      0.36% |      0.35% |      0.33%
    mpki                             |       1.58 |       1.34 |       1.42 |       1.29 |       1.28 |       1.22
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      10822 |       8744 |       9244 |       8365 |       8735 |       8265
    num misses                       |        599 |        301 |        298 |        216 |        311 |        365
    miss rate                        |      5.54% |      3.44% |      3.22% |      2.58% |      3.56% |      4.42%
    mpki                             |       0.09 |       0.05 |       0.05 |       0.03 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |     510583 |     447733 |     437786 |     427524 |     420792 |     400801
    num cache misses                 |       2213 |        185 |        170 |        159 |        197 |        215
    miss rate                        |      0.43% |      0.04% |      0.04% |      0.04% |      0.05% |      0.05%
    mpki                             |       0.33 |       0.03 |       0.03 |       0.02 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    2528510 |    2354568 |    2337096 |    2331335 |    2523342 |    2521356
    num cache misses                 |     119352 |     107685 |     106812 |     105480 |     118007 |     118342
    miss rate                        |      4.72% |      4.57% |      4.57% |      4.52% |      4.68% |      4.69%
    mpki                             |      17.60 |      16.54 |      16.50 |      16.31 |      17.38 |      17.53
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     152137 |     134893 |     134681 |     131772 |     159481 |     162221
    num cache misses                 |      60456 |      50838 |      51527 |      51521 |      61185 |      62788
    miss rate                        |     39.74% |     37.69% |     38.26% |     39.10% |     38.37% |     38.71%
    mpki                             |       8.92 |       7.81 |       7.96 |       7.97 |       9.01 |       9.30
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      95568 |      80872 |      82027 |      80053 |     106108 |     107986
    num cache misses                 |      32566 |      21573 |      21944 |      25749 |      43707 |      46573
    miss rate                        |     34.08% |     26.68% |     26.75% |     32.16% |     41.19% |     43.13%
    mpki                             |       4.80 |       3.31 |       3.39 |       3.98 |       6.44 |       6.90
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |       9080 |          0 |          0 |          0 |       9044 |          0
  average dram access latency (ns)   |      62.83 |        inf |        inf |        inf |      62.68 |        inf
  average dram queueing delay        |       1.58 |       0.00 |       0.00 |       0.00 |       1.43 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6260 |         27 |         24 |         15 |         22 |          8
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      17567 |      16826 |      16966 |      16094 |      33113 |      33415
