                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9696914 |    4410597 |   84090853 |   84061932 |  171984087 |   84315015 |   90468495 |  101232325 |   98658181 |  103567935 |  359379635 |  372821777 |  349248421 |  363829665 |    4578532
  Cycles                             |  318496560 |  318496560 |  318496560 |  241618080 |  241618080 |  318496560 |  241618080 |  318496560 |  241618080 |  318496560 |  241618080 |  318496560 |  241618080 |  318496560 |  241618080
  IPC                                |       0.03 |       0.01 |       0.26 |       0.35 |       0.71 |       0.26 |       0.37 |       0.32 |       0.41 |       0.33 |       1.49 |       1.17 |       1.45 |       1.14 |       0.02
  Time (ns)                          |  109826400 |  109826400 |  109826400 |  109826400 |  109826400 |  109826400 |  109826400 |  109826400 |  109826400 |  109826400 |  109826400 |  109826400 |  109826400 |  109826400 |  109826400
  Idle time (ns)                     |  106832128 |  107715598 |   60202342 |   60439544 |   11319325 |   60064247 |   93443494 |   94271911 |   91842351 |   93904321 |    6520079 |    7618448 |    9051570 |    7729291 |  108147267
  Idle time (%)                      |      97.3% |      98.1% |      54.8% |      55.0% |      10.3% |      54.7% |      85.1% |      85.8% |      83.6% |      85.5% |       5.9% |       6.9% |       8.2% |       7.0% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279557 |     175564 |    4227258 |    4224593 |    8658485 |    4237703 |     143956 |     156325 |     148935 |     155820 |   42810839 |   44779013 |   41759354 |   43403189 |     468562
  num incorrect                      |       7559 |        729 |        640 |        620 |       1482 |        626 |       2737 |       2789 |       2662 |       2713 |    1994146 |    2072487 |    1964850 |    2075638 |       8166
  misprediction rate                 |      0.59% |      0.41% |      0.02% |      0.01% |      0.02% |      0.01% |      1.87% |      1.75% |      1.76% |      1.71% |      4.45% |      4.42% |      4.49% |      4.56% |      1.71%
  mpki                               |       0.78 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.55 |       5.56 |       5.63 |       5.70 |       1.78
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529953 |     430473 |    6352653 |    6347303 |   13010272 |    6367484 |    5099215 |    5699414 |    5549702 |    5825087 |   40923660 |   42611035 |   39841380 |   41483487 |     619634
    num misses                       |        113 |         36 |         35 |         32 |         34 |         34 |         39 |         38 |         39 |         39 |         48 |         46 |         40 |         39 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836701 |    3848699 |   56692558 |   56681267 |  115948441 |   56848927 |   21193086 |   23687094 |   23064412 |   24210114 |  175508271 |  181820605 |  169928898 |  176196872 |    2507494
    num misses                       |      13844 |       5338 |        610 |        586 |       1160 |        591 |       2111 |       2217 |       2173 |       2249 |      20331 |      21164 |      20136 |      19919 |       3391
    miss rate                        |      0.29% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.14%
    mpki                             |       1.43 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.06 |       0.06 |       0.06 |       0.05 |       0.74
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      13957 |       5374 |        645 |        618 |       1194 |        625 |       2150 |       2255 |       2212 |       2288 |      20379 |      21210 |      20176 |      19958 |       3432
    num misses                       |       5864 |       5325 |        627 |        614 |       1191 |        617 |       1698 |       1783 |       1736 |       1823 |       1843 |       1930 |       1796 |       1904 |       2219
    miss rate                        |     42.01% |     99.09% |     97.21% |     99.35% |     99.75% |     98.72% |     78.98% |     79.07% |     78.48% |     79.68% |      9.04% |      9.10% |      8.90% |      9.54% |     64.66%
    mpki                             |       0.60 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.48
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529953 |     430473 |    6352653 |    6347303 |   13010272 |    6367484 |    5099215 |    5699414 |    5549702 |    5825087 |   40923660 |   42611035 |   39841380 |   41483487 |     619634
