                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   10975159 |    3073969 |    3112595 |    2880431 |    3297237 |    3133657 |    2705518 |    3161737 |    3163956 |    3102168 |    3305864 |    3276572
  Cycles                             |    8446800 |    8446800 |    8446800 |    8446800 |   11262400 |   11262400 |   11262400 |   11262400 |    8446800 |    8446800 |    8446800 |    8446800
  IPC                                |       1.30 |       0.36 |       0.37 |       0.34 |       0.29 |       0.28 |       0.24 |       0.28 |       0.37 |       0.37 |       0.39 |       0.39
  Time (ns)                          |    2815600 |    2815600 |    2815600 |    2815600 |    2815600 |    2815600 |    2815600 |    2815600 |    2815600 |    2815600 |    2815600 |    2815600
  Idle time (ns)                     |       1589 |    2283995 |    2284435 |    2284533 |    2294503 |    2294825 |    2294966 |    2295095 |    2285092 |    2285117 |    2284896 |    2285283
  Idle time (%)                      |       0.1% |      81.1% |      81.1% |      81.1% |      81.5% |      81.5% |      81.5% |      81.5% |      81.2% |      81.2% |      81.2% |      81.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1322706 |     975405 |     991304 |     895547 |    1063362 |     996533 |     816582 |    1008333 |    1003577 |     975686 |    1061171 |    1048858
  num incorrect                      |      77058 |       4728 |       4173 |       7410 |       2583 |       4619 |      10510 |       4220 |       5273 |       6371 |       3528 |       3848
  misprediction rate                 |      5.51% |      0.48% |      0.42% |      0.82% |      0.24% |      0.46% |      1.27% |      0.42% |      0.52% |      0.65% |      0.33% |      0.37%
  mpki                               |       7.02 |       1.54 |       1.34 |       2.57 |       0.78 |       1.47 |       3.88 |       1.33 |       1.67 |       2.05 |       1.07 |       1.17
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1395231 |      41439 |      38460 |      57114 |      26980 |      40481 |      80657 |      37599 |      43513 |      50829 |      33181 |      35484
    num misses                       |        171 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.06% |      0.07% |      0.05% |      0.10% |      0.06% |      0.03% |      0.07% |      0.06% |      0.05% |      0.08% |      0.07%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2665084 |     580348 |     585085 |     562085 |     607488 |     589797 |     548065 |     592075 |     597644 |     592041 |     612924 |     609793
    num misses                       |       1491 |        131 |        129 |        128 |        134 |        142 |        140 |        128 |        122 |        124 |        113 |        116
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
