                                     | Core 0      | Core 1     
  Instructions                       |  7193582132 |  7202618745
  Cycles                             |  9394828800 |  9394828800
  IPC                                |        0.77 |        0.77
  Time (ns)                          |  2348707200 |  2348707200
  Idle time (ns)                     |     1996012 |    40133644
  Idle time (%)                      |        0.1% |        1.7%
Branch predictor stats               |             |            
  num correct                        |   341894571 |   347292484
  num incorrect                      |       68006 |       61241
  misprediction rate                 |       0.02% |       0.02%
  mpki                               |        0.01 |        0.01
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   796534262 |   795484657
    num misses                       |         225 |          29
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |  4024958955 |  4023757342
    num misses                       |     2316365 |     2313881
    miss rate                        |       0.06% |       0.06%
    mpki                             |        0.32 |        0.32
  L2 TLB                             |             |            
    num accesses                     |     2316590 |     2313910
    num misses                       |     1832079 |     1829394
    miss rate                        |      79.09% |      79.06%
    mpki                             |        0.25 |        0.25
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   796534262 |   795484657
    num cache misses                 |      372193 |      352228
    miss rate                        |       0.05% |       0.04%
    mpki                             |        0.05 |        0.05
  Cache L1-D                         |             |            
    num cache accesses               |  4024958955 |  4023757342
    num cache misses                 |   294248878 |   294129643
    miss rate                        |       7.31% |       7.31%
    mpki                             |       40.90 |       40.84
  Cache L2                           |             |            
    num cache accesses               |   308154038 |   307905456
    num cache misses                 |   125932885 |   125793008
    miss rate                        |      40.87% |      40.85%
    mpki                             |       17.51 |       17.46
  Cache L3                           |             |            
    num cache accesses               |   139489342 |   139239879
    num cache misses                 |    82806024 |    82779147
    miss rate                        |      59.36% |      59.45%
    mpki                             |       11.51 |       11.49
DRAM summary                         |             |            
  num dram accesses                  |   119394329 |   119389981
  average dram access latency (ns)   |    42610.47 |    42493.68
  average dram queueing delay        |    42549.22 |    42432.43
  average dram bandwidth utilization |       6.00% |       6.00%
Coherency Traffic                    |             |            
  num loads from dram                |    59664402 |    59696297
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |      181090 |      157269
