                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   81873560 |   82240421 |   81456884 |   80913472
  Cycles                             |   37077600 |   37077600 |   37077600 |   37077600
  IPC                                |       2.21 |       2.22 |       2.20 |       2.18
  Time (ns)                          |    9269400 |    9269400 |    9269400 |    9269400
  Idle time (ns)                     |      87304 |     245108 |     235355 |     236544
  Idle time (%)                      |       0.9% |       2.6% |       2.5% |       2.6%
Branch predictor stats               |            |            |            |           
  num correct                        |   13508760 |   14137291 |   13770281 |   13421170
  num incorrect                      |      64449 |      57777 |      59517 |      57962
  misprediction rate                 |      0.47% |      0.41% |      0.43% |      0.43%
  mpki                               |       0.79 |       0.70 |       0.73 |       0.72
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2920941 |    2701558 |    2744417 |    2853296
    num misses                       |        316 |         27 |         27 |         27
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   30993269 |   30344973 |   30334702 |   30443624
    num misses                       |      20166 |      20400 |      17035 |      21512
    miss rate                        |      0.07% |      0.07% |      0.06% |      0.07%
    mpki                             |       0.25 |       0.25 |       0.21 |       0.27
  L2 TLB                             |            |            |            |           
    num accesses                     |      20482 |      20427 |      17062 |      21539
    num misses                       |        674 |        307 |        311 |        289
    miss rate                        |      3.29% |      1.50% |      1.82% |      1.34%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2920941 |    2701558 |    2744417 |    2853296
    num cache misses                 |      12735 |        380 |        385 |        385
    miss rate                        |      0.44% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.16 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   30993269 |   30344973 |   30334702 |   30443624
    num cache misses                 |    2318473 |    2243560 |    2244227 |    2284336
    miss rate                        |      7.48% |      7.39% |      7.40% |      7.50%
    mpki                             |      28.32 |      27.28 |      27.55 |      28.23
  Cache L2                           |            |            |            |           
    num cache accesses               |    2353688 |    2262730 |    2263401 |    2303144
    num cache misses                 |      81619 |      72035 |      71760 |      72303
    miss rate                        |      3.47% |      3.18% |      3.17% |      3.14%
    mpki                             |       1.00 |       0.88 |       0.88 |       0.89
  Cache L3                           |            |            |            |           
    num cache accesses               |     104766 |      91264 |      90988 |      91156
    num cache misses                 |      19289 |       8676 |       8755 |       8812
    miss rate                        |     18.41% |      9.51% |      9.62% |      9.67%
    mpki                             |       0.24 |       0.11 |       0.11 |       0.11
DRAM summary                         |            |            |            |           
  num dram accesses                  |      45476 |          0 |          0 |          0
  average dram access latency (ns)   |    2767.01 |        inf |        inf |        inf
  average dram queueing delay        |    2705.76 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       7039 |        438 |        239 |        214
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
