                                     | Core 0      | Core 1     
  Instructions                       |  1105830769 |  1034048240
  Cycles                             |  1530955600 |  1530955600
  IPC                                |        0.72 |        0.68
  Time (ns)                          |   382738900 |   382738900
  Idle time (ns)                     |     1734273 |      237296
  Idle time (%)                      |        0.5% |        0.1%
Branch predictor stats               |             |            
  num correct                        |   198887027 |   174195635
  num incorrect                      |      646057 |      653629
  misprediction rate                 |       0.32% |       0.37%
  mpki                               |        0.58 |        0.63
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |    39296127 |    40085424
    num misses                       |         258 |          27
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |   398960209 |   387671134
    num misses                       |      392616 |      390820
    miss rate                        |       0.10% |       0.10%
    mpki                             |        0.36 |        0.38
  L2 TLB                             |             |            
    num accesses                     |      392874 |      390847
    num misses                       |      353415 |      354469
    miss rate                        |      89.96% |      90.69%
    mpki                             |        0.32 |        0.34
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |    39296127 |    40085424
    num cache misses                 |       32136 |       16423
    miss rate                        |       0.08% |       0.04%
    mpki                             |        0.03 |        0.02
  Cache L1-D                         |             |            
    num cache accesses               |   398960209 |   387671134
    num cache misses                 |   102497817 |   102889636
    miss rate                        |      25.69% |      26.54%
    mpki                             |       92.69 |       99.50
  Cache L2                           |             |            
    num cache accesses               |   103138271 |   103524033
    num cache misses                 |    21680152 |    21724045
    miss rate                        |      21.02% |      20.98%
    mpki                             |       19.61 |       21.01
  Cache L3                           |             |            
    num cache accesses               |    22326823 |    22375393
    num cache misses                 |    20855465 |    20902919
    miss rate                        |      93.41% |      93.42%
    mpki                             |       18.86 |       20.21
DRAM summary                         |             |            
  num dram accesses                  |    43532572 |           0
  average dram access latency (ns)   |       86.51 |         inf
  average dram queueing delay        |       25.26 |        0.00
  average dram bandwidth utilization |      14.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |    20649447 |    20708660
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
