                                     | Core 0     | Core 1    
  Instructions                       |  362287440 |  362741874
  Cycles                             |  117446520 |  117446520
  IPC                                |       3.08 |       3.09
  Time (ns)                          |   40498800 |   40498800
  Idle time (ns)                     |        227 |     356085
  Idle time (%)                      |       0.0% |       0.9%
Branch predictor stats               |            |           
  num correct                        |   17362888 |   17632831
  num incorrect                      |     502267 |     488432
  misprediction rate                 |      2.81% |      2.70%
  mpki                               |       1.39 |       1.35
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   32385876 |   32252588
    num misses                       |        327 |         28
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  112860583 |  112629176
    num misses                       |     109900 |     108366
    miss rate                        |      0.10% |      0.10%
    mpki                             |       0.30 |       0.30
  L2 TLB                             |            |           
    num accesses                     |     110227 |     108394
    num misses                       |      25075 |      24525
    miss rate                        |     22.75% |     22.63%
    mpki                             |       0.07 |       0.07
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   32385876 |   32252588
    num cache misses                 |      13618 |       4008
    miss rate                        |      0.04% |      0.01%
    mpki                             |       0.04 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |  112860583 |  112629176
    num cache misses                 |   11171475 |   11168143
    miss rate                        |      9.90% |      9.92%
    mpki                             |      30.84 |      30.79
  Cache L2                           |            |           
    num cache accesses               |   11186130 |   11172175
    num cache misses                 |    1545268 |    1524723
    miss rate                        |     13.81% |     13.65%
    mpki                             |       4.27 |       4.20
  Cache L3                           |            |           
    num cache accesses               |    1546337 |    1524792
    num cache misses                 |      94046 |      84518
    miss rate                        |      6.08% |      5.54%
    mpki                             |       0.26 |       0.23
DRAM summary                         |            |           
  num dram accesses                  |     178745 |          0
  average dram access latency (ns)   |      65.40 |        inf
  average dram queueing delay        |       4.15 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       5853 |        622
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
