                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |     386070 |          0 |          0 |          0 |          0 |          0
  Cycles                             |     724000 |     724000 |     724000 |     724000 |     724000 |     724000
  IPC                                |       0.53 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |     181000 |     181000 |     181000 |     181000 |     181000 |     181000
  Idle time (ns)                     |         97 |     181000 |     181000 |     181000 |     181000 |     181000
  Idle time (%)                      |       0.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |      56066 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |       3538 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      5.94% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       9.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      45261 |          0 |          0 |          0 |          0 |          0
    num misses                       |         94 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.21% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.24 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |     158269 |          0 |          0 |          0 |          0 |          0
    num misses                       |        328 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.21% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.85 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        422 |          0 |          0 |          0 |          0 |          0
    num misses                       |        295 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     69.91% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.76 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      45261 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       1168 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      2.58% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       3.03 |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |     158269 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       9888 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      6.25% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      25.61 |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      12931 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       9316 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     72.04% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      24.13 |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      11199 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       9285 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     82.91% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      24.05 |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |       4670 |          0 |          0 |       4615 |          0 |          0
  average dram access latency (ns)   |      61.46 |        inf |        inf |      61.40 |        inf |        inf
  average dram queueing delay        |       0.20 |       0.00 |       0.00 |       0.15 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      3.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6152 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
