1425498,184800,5806,29970,108601,68296,155903948,136140147,0
357451,1719477,87928,92980,269368,131852,222152,0,136140147
346365,1631468,83773,88220,227320,161636,0,222152,155903948
1000651,1367984,70932,254640,136996,0,161636,131852,68296
198770,1454828,64636,233361,0,136996,227320,269368,108601
109601,4273229,29164,0,233361,254640,88220,92980,29970
23935,1061357,0,29164,64636,70932,83773,87928,5806
52952,0,1061357,4273229,1454828,1367984,1631468,1719477,184800
0,52952,23935,109601,198770,1000651,346365,357451,1425498

