11,145108141,35498269,1173764379,301102428
10,174720693,42776327,1414729887,363814428
9,148374823,36151905,1200479919,307657960
8,273194253,66501474,2215257271,568630540
7,215475654,52920276,1745237407,449306324
6,221892864,54196693,1797498639,461782732
5,267807861,65357859,2169864203,557351424
4,191621758,47068757,1551470491,399188624
3,297877846,72750443,2413796071,620142252
2,202299046,49566677,1637167578,420456812
1,180519231,44304322,1460679211,375487932
0,162557810,39691021,1317297478,338210920
