205565,21083,1091,542,543,4,556,610,2474,5,2689,2882,2819,2336,4996,2516,3835,6379,1062542,663629,591986,718634,41010,27610,32115,37593,0
14128,24785,957,136,124,0,1322,1786,1394,1,48,24,0,0,1603,2916,7654,1176,2450,1597,1160,892,1258,1960,2267,0,37593
14019,22814,1084,145,158,0,2108,1192,1203,1,0,24,0,6,2612,2562,6264,2477,2898,1609,956,1161,1601,1341,0,2267,32115
12327,21313,1351,231,117,0,1984,849,1063,1,0,48,0,0,1654,2977,5344,1516,2698,1190,784,1193,1700,0,1341,1960,27610
13115,21548,887,260,132,62,1629,1549,1552,1,0,48,0,0,4094,903,4322,3296,2787,1481,745,920,0,1700,1601,1258,41010
14021,23664,2437,839,842,182,783,156,943,1,1846,1825,3188,3818,320,9,4168,317,5398,2451,2251,0,920,1193,1161,892,718634
14988,25956,2413,1071,740,281,682,193,1267,1,2457,4359,2131,1276,204,14,3852,205,5219,4982,0,2251,745,784,956,1160,591986
21367,38709,2433,1479,1592,222,860,239,1431,1,3821,3250,3463,3949,77,288,6964,217,8951,0,4982,2451,1481,1190,1609,1597,663629
23208,42996,2682,1615,1642,170,782,155,1434,1,4462,4268,3976,2843,0,289,7935,387,0,8951,5219,5398,2787,2698,2898,2450,1062542
6346,64993,492,395,745,2,4207,4842,3183,14,86,164,65,70,4757,1433,389,0,387,217,205,317,3296,1516,2477,1176,6379
6606,67172,346,276,800,10,2727,5054,782,1,22,8,14,18,2887,3354,0,389,7935,6964,3852,4168,4322,5344,6264,7654,3835
6399,71621,342,240,780,6,5066,3928,194,1,22,32,16,17,355,0,3354,1433,289,288,14,9,903,2977,2562,2916,2516
6992,71876,446,422,784,40,4609,4034,2913,1,59,53,4,30,0,355,2887,4757,0,77,204,320,4094,1654,2612,1603,4996
8171,89532,5684,3073,4692,80,99,0,428,1,1379,3099,3027,0,30,17,18,70,2843,3949,1276,3818,0,0,6,0,2336
9005,100495,5045,4674,4054,89,120,0,480,2,3469,2272,0,3027,4,16,14,65,3976,3463,2131,3188,0,0,0,0,2819
9211,106686,5363,4725,4157,80,83,25,515,2,3756,0,2272,3099,53,32,8,164,4268,3250,4359,1825,48,48,24,24,2882
110113,105751,4174,4739,5315,40,80,29,516,13,0,3756,3469,1379,59,22,22,86,4462,3821,2457,1846,0,0,0,48,2689
363,62,2,0,0,10,0,281,57,0,13,2,2,1,1,1,1,14,1,1,1,1,1,1,1,1,5
953,37913,880,874,266,280,409,310,0,57,516,515,480,428,2913,194,782,3183,1434,1431,1267,943,1552,1063,1203,1394,2474
7604,1053570,683,366,989,63,1032,0,310,281,29,25,0,0,4034,3928,5054,4842,155,239,193,156,1549,849,1192,1786,610
6847,1048713,1068,474,880,75,0,1032,409,0,80,83,120,99,4609,5066,2727,4207,782,860,682,783,1629,1984,2108,1322,556
361,70,150,265,89,0,75,63,280,10,40,80,89,80,40,6,10,2,170,222,281,182,62,0,0,0,4
6710,1046123,674,440,0,89,880,989,266,0,5315,4157,4054,4692,784,780,800,745,1642,1592,740,842,132,117,158,124,543
6552,1045740,1466,0,440,265,474,366,874,0,4739,4725,4674,3073,422,240,276,395,1615,1479,1071,839,260,231,145,136,542
3704,1045872,0,1466,674,150,1068,683,880,2,4174,5363,5045,5684,446,342,346,492,2682,2433,2413,2437,887,1351,1084,957,1091
6760,0,1045872,1045740,1046123,70,1048713,1053570,37913,62,105751,106686,100495,89532,71876,71621,67172,64993,42996,38709,25956,23664,21548,21313,22814,24785,21083
0,6760,3704,6552,6710,361,6847,7604,953,363,110113,9211,9005,8171,6992,6399,6606,6346,23208,21367,14988,14021,13115,12327,14019,14128,205565

