1413369,164504,5590,4780,4300,1180,22919,12444,11167,14769,11992,82398,715327,587114,1391365,1186997,812793,0
296125,1358841,14012,1104,1836,11508,76468,0,1228,12592,4,289212,20096,48816,14900,136832,0,812793
95524,472097,22168,9216,111664,11544,3616,11428,22360,36928,19456,25484,36308,37080,24532,0,136832,1186997
111353,480374,25224,5472,12816,12972,4880,14396,19588,45924,25768,25436,42300,54412,0,24532,14900,1391365
109379,507161,19953,12700,9552,12808,4040,27580,20592,26280,21016,24268,42908,0,54412,37080,48816,587114
99533,507140,24880,8964,8408,13244,3296,25284,24092,26656,16892,21760,0,42908,42300,36308,20096,715327
169995,1145164,7404,2908,33588,2880,228209,528,8220,9568,652,0,21760,24268,25436,25484,289212,82398
58979,399858,29748,23848,25016,3892,0,11588,17684,13072,0,652,16892,21016,25768,19456,4,11992
856438,390188,27648,26928,28969,3564,7820,12156,18708,0,13072,9568,26656,26280,45924,36928,12592,14769
62786,463171,36076,20928,32912,3924,704,19684,0,18708,17684,8220,24092,20592,19588,22360,1228,11167
57417,409467,27516,32205,22644,3608,148,0,19684,12156,11588,528,25284,27580,14396,11428,0,12444
59925,2160025,6008,1964,3208,3308,0,148,704,7820,0,228209,3296,4040,4880,3616,76468,22919
1601,392,6508,7008,3208,0,3308,3608,3924,3564,3892,2880,13244,12808,12972,11544,11508,1180
40418,1054041,5740,2740,0,3208,3208,22644,32912,28969,25016,33588,8408,9552,12816,111664,1836,4300
35320,1053671,6188,0,2740,7008,1964,32205,20928,26928,23848,2908,8964,12700,5472,9216,1104,4780
23975,1054529,0,6188,5740,6508,6008,27516,36076,27648,29748,7404,24880,19953,25224,22168,14012,5590
53246,0,1054529,1053671,1054041,392,2160025,409467,463171,390188,399858,1145164,507140,507161,480374,472097,1358841,164504
0,53246,23975,35320,40418,1601,59925,57417,62786,856438,58979,169995,99533,109379,111353,95524,296125,1413369

