                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5     
  Instructions                       |  5045495066 |  5029143063 |  4909957612 |  4903616052 |  4885968158 |  4885949321
  Cycles                             |  2085354400 |  2085354400 |  2085354400 |  2085354400 |  2085354400 |  2085354400
  IPC                                |        2.42 |        2.41 |        2.35 |        2.35 |        2.34 |        2.34
  Time (ns)                          |   521338600 |   521338600 |   521338600 |   521338600 |   521338600 |   521338600
  Idle time (ns)                     |     2132776 |     1050059 |    15689245 |    16744218 |    18030780 |    19662554
  Idle time (%)                      |        0.4% |        0.2% |        3.0% |        3.2% |        3.5% |        3.8%
Branch predictor stats               |             |             |             |             |             |            
  num correct                        |   262532283 |   257028685 |   264101306 |   261988908 |   265169249 |   265162120
  num incorrect                      |     1439411 |     1640371 |     1590390 |     1589683 |     1577128 |     1577804
  misprediction rate                 |       0.55% |       0.63% |       0.60% |       0.60% |       0.59% |       0.59%
  mpki                               |        0.29 |        0.33 |        0.32 |        0.32 |        0.32 |        0.32
TLB Summary                          |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |            
    num accesses                     |   598450267 |   598334310 |   578540504 |   578539911 |   574752475 |   574752600
    num misses                       |         246 |          25 |          25 |          25 |          25 |          25
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |            
    num accesses                     |  1615643323 |  1612682208 |  1568237726 |  1567179690 |  1558803041 |  1558800144
    num misses                       |     2522562 |     2555512 |     2443933 |     2490384 |     2460903 |     2451698
    miss rate                        |       0.16% |       0.16% |       0.16% |       0.16% |       0.16% |       0.16%
    mpki                             |        0.50 |        0.51 |        0.50 |        0.51 |        0.50 |        0.50
  L2 TLB                             |             |             |             |             |             |            
    num accesses                     |     2522808 |     2555537 |     2443958 |     2490409 |     2460928 |     2451723
    num misses                       |      522933 |      525580 |      490340 |      521427 |      506615 |      499883
    miss rate                        |      20.73% |      20.57% |      20.06% |      20.94% |      20.59% |      20.39%
    mpki                             |        0.10 |        0.10 |        0.10 |        0.11 |        0.10 |        0.10
Cache Summary                        |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |            
    num cache accesses               |   598450267 |   598334310 |   578540504 |   578539911 |   574752475 |   574752600
    num cache misses                 |      156274 |      145403 |      140498 |      140304 |      139588 |      140574
    miss rate                        |       0.03% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02%
    mpki                             |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Cache L1-D                         |             |             |             |             |             |            
    num cache accesses               |  1615643323 |  1612682208 |  1568237726 |  1567179690 |  1558803041 |  1558800144
    num cache misses                 |   203862665 |   203895924 |   197305041 |   197304098 |   195947006 |   195932642
    miss rate                        |      12.62% |      12.64% |      12.58% |      12.59% |      12.57% |      12.57%
    mpki                             |       40.40 |       40.54 |       40.18 |       40.24 |       40.10 |       40.10
  Cache L2                           |             |             |             |             |             |            
    num cache accesses               |   206193054 |   206213079 |   199518595 |   199517530 |   198159635 |   198146291
    num cache misses                 |    23044362 |    23014878 |    22325507 |    22306615 |    22161272 |    22125257
    miss rate                        |      11.18% |      11.16% |      11.19% |      11.18% |      11.18% |      11.17%
    mpki                             |        4.57 |        4.58 |        4.55 |        4.55 |        4.54 |        4.53
  Cache L3                           |             |             |             |             |             |            
    num cache accesses               |    31446855 |    31385147 |    30337513 |    30292582 |    30141490 |    30101007
    num cache misses                 |    18013967 |    17998947 |    17387310 |    17373280 |    17283800 |    17279990
    miss rate                        |      57.28% |      57.35% |      57.31% |      57.35% |      57.34% |      57.41%
    mpki                             |        3.57 |        3.58 |        3.54 |        3.54 |        3.54 |        3.54
DRAM summary                         |             |             |             |             |             |            
  num dram accesses                  |    99979975 |           0 |           0 |    99966281 |           0 |           0
  average dram access latency (ns)   |     4814.77 |         inf |         inf |     5025.85 |         inf |         inf
  average dram queueing delay        |     4753.52 |        0.00 |        0.00 |     4964.60 |        0.00 |        0.00
  average dram bandwidth utilization |      23.00% |       0.00% |       0.00% |      23.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |            
  num loads from dram                |    12378700 |    12335493 |    11935193 |    11899273 |    11824878 |    11828772
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |        2174 |        2073 |        2156 |        3481 |        3872 |        3904
