                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |    6930864 |    6738405 |    6742751 |    6758905 |    6462096 |    6377641
  Cycles                             |   31777200 |   31777200 |   31777200 |   31777200 |    7944300 |    7944300
  IPC                                |       0.22 |       0.21 |       0.21 |       0.21 |       0.81 |       0.80
  Time (ns)                          |    7944300 |    7944300 |    7944300 |    7944300 |    7944300 |    7944300
  Idle time (ns)                     |        105 |     345657 |     346693 |     347499 |     348157 |     348897
  Idle time (%)                      |       0.0% |       4.4% |       4.4% |       4.4% |       4.4% |       4.4%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |     623030 |     625922 |     633657 |     635014 |     566695 |     550205
  num incorrect                      |       4569 |       1326 |       1473 |       1508 |       1479 |       1559
  misprediction rate                 |      0.73% |      0.21% |      0.23% |      0.24% |      0.26% |      0.28%
  mpki                               |       0.66 |       0.20 |       0.22 |       0.22 |       0.23 |       0.24
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |     511183 |     449507 |     439423 |     429035 |     417394 |     397677
    num misses                       |        118 |         22 |         24 |         24 |         24 |         24
    miss rate                        |      0.02% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    2597024 |    2468354 |    2453359 |    2459092 |    2342954 |    2313903
    num misses                       |      11218 |       8634 |       8721 |       8505 |       8525 |       8536
    miss rate                        |      0.43% |      0.35% |      0.36% |      0.35% |      0.36% |      0.37%
    mpki                             |       1.62 |       1.28 |       1.29 |       1.26 |       1.32 |       1.34
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      11336 |       8656 |       8745 |       8529 |       8549 |       8560
    num misses                       |        546 |        295 |        302 |        261 |        305 |        292
    miss rate                        |      4.82% |      3.41% |      3.45% |      3.06% |      3.57% |      3.41%
    mpki                             |       0.08 |       0.04 |       0.04 |       0.04 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |     511183 |     449507 |     439423 |     429035 |     417394 |     397677
    num cache misses                 |       1893 |        138 |        142 |        141 |        171 |        163
    miss rate                        |      0.37% |      0.03% |      0.03% |      0.03% |      0.04% |      0.04%
    mpki                             |       0.27 |       0.02 |       0.02 |       0.02 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    2597024 |    2468354 |    2453359 |    2459092 |    2342954 |    2313903
    num cache misses                 |     118599 |     107279 |     106546 |     105369 |     103310 |     103527
    miss rate                        |      4.57% |      4.35% |      4.34% |      4.28% |      4.41% |      4.47%
    mpki                             |      17.11 |      15.92 |      15.80 |      15.59 |      15.99 |      16.23
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     140801 |     125642 |     124282 |     123020 |     119066 |     120179
    num cache misses                 |      57741 |      48794 |      49322 |      49510 |      46914 |      46600
    miss rate                        |     41.01% |     38.84% |     39.69% |     40.25% |     39.40% |     38.78%
    mpki                             |       8.33 |       7.24 |       7.31 |       7.33 |       7.26 |       7.31
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      82714 |      70912 |      70727 |      70719 |      66338 |      66803
    num cache misses                 |      10843 |       1471 |       1465 |       1463 |       1447 |       1465
    miss rate                        |     13.11% |      2.07% |      2.07% |      2.07% |      2.18% |      2.19%
    mpki                             |       1.56 |       0.22 |       0.22 |       0.22 |       0.22 |       0.23
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      18130 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     298.15 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     236.90 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6146 |         40 |         40 |         33 |         24 |         28
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
