                                     | Core 0      | Core 1     
  Instructions                       |   940403019 |   943510487
  Cycles                             |  1837594200 |  1837594200
  IPC                                |        0.51 |        0.51
  Time (ns)                          |   612531400 |   612531400
  Idle time (ns)                     |     3554941 |      312113
  Idle time (%)                      |        0.6% |        0.1%
Branch predictor stats               |             |            
  num correct                        |    49162492 |    50952780
  num incorrect                      |       24398 |       17730
  misprediction rate                 |       0.05% |       0.03%
  mpki                               |        0.03 |        0.02
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   102090921 |   101720765
    num misses                       |         198 |          29
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |   519332971 |   518924992
    num misses                       |      290085 |      287582
    miss rate                        |       0.06% |       0.06%
    mpki                             |        0.31 |        0.30
  L2 TLB                             |             |            
    num accesses                     |      290283 |      287611
    num misses                       |      203032 |      201550
    miss rate                        |      69.94% |      70.08%
    mpki                             |        0.22 |        0.21
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   102090921 |   101720765
    num cache misses                 |      116121 |       99015
    miss rate                        |       0.11% |       0.10%
    mpki                             |        0.12 |        0.10
  Cache L1-D                         |             |            
    num cache accesses               |   519332971 |   518924992
    num cache misses                 |    21108092 |    21260398
    miss rate                        |       4.06% |       4.10%
    mpki                             |       22.45 |       22.53
  Cache L2                           |             |            
    num cache accesses               |    22893712 |    23019758
    num cache misses                 |    15958715 |    15908660
    miss rate                        |      69.71% |      69.11%
    mpki                             |       16.97 |       16.86
  Cache L3                           |             |            
    num cache accesses               |    17629237 |    17569225
    num cache misses                 |    10312119 |    10330572
    miss rate                        |      58.49% |      58.80%
    mpki                             |       10.97 |       10.95
DRAM summary                         |             |            
  num dram accesses                  |    30026654 |           0
  average dram access latency (ns)   |     3013.25 |         inf
  average dram queueing delay        |     2952.00 |        0.00
  average dram bandwidth utilization |       6.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |     7419489 |     7454886
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
