                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   56232394 |   56435778 |   56496591 |   55962201 |   56085950 |   55925435
  Cycles                             |   24858700 |   24858700 |   24858700 |   24858700 |   24858700 |   24858700
  IPC                                |       2.26 |       2.27 |       2.27 |       2.25 |       2.26 |       2.25
  Time (ns)                          |   24858700 |   24858700 |   24858700 |   24858700 |   24858700 |   24858700
  Idle time (ns)                     |     313324 |     650311 |     526868 |     527401 |     527817 |     529235
  Idle time (%)                      |       1.3% |       2.6% |       2.1% |       2.1% |       2.1% |       2.1%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    9521076 |    9616861 |   10015611 |    9779811 |    9549940 |    9582298
  num incorrect                      |      48303 |      39480 |      41196 |      42117 |      42795 |      40338
  misprediction rate                 |      0.50% |      0.41% |      0.41% |      0.43% |      0.45% |      0.42%
  mpki                               |       0.86 |       0.70 |       0.73 |       0.75 |       0.76 |       0.72
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2005060 |    1913867 |    1832249 |    1850326 |    1956675 |    1947853
    num misses                       |        214 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   20999359 |   20955567 |   20459344 |   20435249 |   20799680 |   20651528
    num misses                       |       5107 |       5931 |       2394 |       4976 |       7931 |       5058
    miss rate                        |      0.02% |      0.03% |      0.01% |      0.02% |      0.04% |      0.02%
    mpki                             |       0.09 |       0.11 |       0.04 |       0.09 |       0.14 |       0.09
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       5321 |       5958 |       2421 |       5003 |       7958 |       5085
    num misses                       |        594 |        236 |        227 |        245 |        246 |        228
    miss rate                        |     11.16% |      3.96% |      9.38% |      4.90% |      3.09% |      4.48%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2005060 |    1913867 |    1832249 |    1850326 |    1956675 |    1947853
    num cache misses                 |      13760 |        474 |        469 |       2611 |        492 |        471
    miss rate                        |      0.69% |      0.02% |      0.03% |      0.14% |      0.03% |      0.02%
    mpki                             |       0.24 |       0.01 |       0.01 |       0.05 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   20999359 |   20955567 |   20459344 |   20435249 |   20799680 |   20651528
    num cache misses                 |    1564816 |    1580168 |    1500386 |    1504796 |    1546420 |    1537806
    miss rate                        |      7.45% |      7.54% |      7.33% |      7.36% |      7.43% |      7.45%
    mpki                             |      27.83 |      28.00 |      26.56 |      26.89 |      27.57 |      27.50
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    1594386 |    1595340 |    1514042 |    1520990 |    1560857 |    1550878
    num cache misses                 |     106208 |      78451 |      80689 |     101655 |      85334 |      81546
    miss rate                        |      6.66% |      4.92% |      5.33% |      6.68% |      5.47% |      5.26%
    mpki                             |       1.89 |       1.39 |       1.43 |       1.82 |       1.52 |       1.46
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     123264 |      93560 |      94305 |     115251 |      99690 |      94544
    num cache misses                 |      25228 |      11657 |      14845 |      17408 |      38814 |      36875
    miss rate                        |     20.47% |     12.46% |     15.74% |     15.10% |     38.93% |     39.00%
    mpki                             |       0.45 |       0.21 |       0.26 |       0.31 |       0.69 |       0.66
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      22840 |          0 |          0 |          0 |      22810 |          0
  average dram access latency (ns)   |      61.87 |        inf |        inf |        inf |      61.85 |        inf
  average dram queueing delay        |       0.61 |       0.00 |       0.00 |       0.00 |       0.60 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       7846 |       1111 |        984 |       1037 |       1070 |       1203
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7361 |       4776 |       8066 |      10544 |      30672 |      29827
