                                     | Core 0      | Core 1     
  Instructions                       |   927863983 |   943822938
  Cycles                             |  1142628800 |  1142628800
  IPC                                |        0.81 |        0.83
  Time (ns)                          |   285657200 |   285657200
  Idle time (ns)                     |        7251 |      522977
  Idle time (%)                      |        0.0% |        0.2%
Branch predictor stats               |             |            
  num correct                        |    44983021 |    51056691
  num incorrect                      |       24452 |       17663
  misprediction rate                 |       0.05% |       0.03%
  mpki                               |        0.03 |        0.02
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   102090827 |   101720978
    num misses                       |         187 |          28
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |   517242797 |   518977537
    num misses                       |      290868 |      287864
    miss rate                        |       0.06% |       0.06%
    mpki                             |        0.31 |        0.30
  L2 TLB                             |             |            
    num accesses                     |      291055 |      287892
    num misses                       |      203154 |      201661
    miss rate                        |      69.80% |      70.05%
    mpki                             |        0.22 |        0.21
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   102090827 |   101720978
    num cache misses                 |       72364 |       58079
    miss rate                        |       0.07% |       0.06%
    mpki                             |        0.08 |        0.06
  Cache L1-D                         |             |            
    num cache accesses               |   517242797 |   518977537
    num cache misses                 |    21073887 |    21234256
    miss rate                        |       4.07% |       4.09%
    mpki                             |       22.71 |       22.50
  Cache L2                           |             |            
    num cache accesses               |    22704685 |    22823627
    num cache misses                 |    15482833 |    15452657
    miss rate                        |      68.19% |      67.70%
    mpki                             |       16.69 |       16.37
  Cache L3                           |             |            
    num cache accesses               |    17042245 |    16984222
    num cache misses                 |    10101007 |    10064424
    miss rate                        |      59.27% |      59.26%
    mpki                             |       10.89 |       10.66
DRAM summary                         |             |            
  num dram accesses                  |    14494686 |    14493847
  average dram access latency (ns)   |     1906.31 |     1940.50
  average dram queueing delay        |     1845.06 |     1879.24
  average dram bandwidth utilization |       6.00% |       6.00%
Coherency Traffic                    |             |            
  num loads from dram                |     7124250 |     7107454
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |       71063 |       78010
