                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |  131667569 |  131147531 |  131203104 |  131192413 |  137884595 |  137907885
  Cycles                             |   43802600 |   43802600 |   43802600 |   43802600 |   43802600 |   43802600
  IPC                                |       3.01 |       2.99 |       3.00 |       3.00 |       3.15 |       3.15
  Time (ns)                          |   43802600 |   43802600 |   43802600 |   43802600 |   43802600 |   43802600
  Idle time (ns)                     |        318 |     498289 |     499086 |     499633 |     500045 |     500456
  Idle time (%)                      |       0.0% |       1.1% |       1.1% |       1.1% |       1.1% |       1.1%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    7138987 |    7113011 |    7131559 |    7127964 |   12685097 |   12693082
  num incorrect                      |      54706 |      52432 |      52438 |      52413 |      47691 |      47691
  misprediction rate                 |      0.76% |      0.73% |      0.73% |      0.73% |      0.37% |      0.37%
  mpki                               |       0.42 |       0.40 |       0.40 |       0.40 |       0.35 |       0.35
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   12210908 |   12096763 |   12096763 |   12096802 |   10997409 |   10997222
    num misses                       |        253 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   42729090 |   42410337 |   42419549 |   42417818 |   41664538 |   41668017
    num misses                       |      38055 |      37807 |      37799 |      37498 |      33499 |      34811
    miss rate                        |      0.09% |      0.09% |      0.09% |      0.09% |      0.08% |      0.08%
    mpki                             |       0.29 |       0.29 |       0.29 |       0.29 |       0.24 |       0.25
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      38308 |      37832 |      37824 |      37523 |      33524 |      34836
    num misses                       |       7855 |       6737 |       6881 |       6869 |       6026 |       6163
    miss rate                        |     20.50% |     17.81% |     18.19% |     18.31% |     17.98% |     17.69%
    mpki                             |       0.06 |       0.05 |       0.05 |       0.05 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   12210908 |   12096763 |   12096763 |   12096802 |   10997409 |   10997222
    num cache misses                 |      17418 |       6923 |       6634 |       6826 |       6166 |       6041
    miss rate                        |      0.14% |      0.06% |      0.05% |      0.06% |      0.06% |      0.05%
    mpki                             |       0.13 |       0.05 |       0.05 |       0.05 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   42729090 |   42410337 |   42419549 |   42417818 |   41664538 |   41668017
    num cache misses                 |    4797924 |    4784297 |    4786076 |    4784498 |    4348876 |    4350866
    miss rate                        |     11.23% |     11.28% |     11.28% |     11.28% |     10.44% |     10.44%
    mpki                             |      36.44 |      36.48 |      36.48 |      36.47 |      31.54 |      31.55
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    4883620 |    4857316 |    4858834 |    4857283 |    4362320 |    4364143
    num cache misses                 |     574355 |     552561 |     551572 |     552319 |     499867 |     499729
    miss rate                        |     11.76% |     11.38% |     11.35% |     11.37% |     11.46% |     11.45%
    mpki                             |       4.36 |       4.21 |       4.20 |       4.21 |       3.63 |       3.62
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     716782 |     692670 |     691860 |     691625 |     593105 |     593025
    num cache misses                 |     346986 |     329065 |     328701 |     327425 |     156745 |     157287
    miss rate                        |     48.41% |     47.51% |     47.51% |     47.34% |     26.43% |     26.52%
    mpki                             |       2.64 |       2.51 |       2.51 |       2.50 |       1.14 |       1.14
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |    1111864 |          0 |          0 |          0 |    1110896 |          0
  average dram access latency (ns)   |      61.61 |        inf |        inf |        inf |      61.58 |        inf
  average dram queueing delay        |       0.36 |       0.00 |       0.00 |       0.00 |       0.33 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00% |      3.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |     146498 |     137961 |     138308 |     137552 |      39168 |      37125
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      53627 |      53446 |      53258 |      53584 |      73811 |      75997
