                                     | Core 0       | Core 1      
  Instructions                       |  17855927090 |  17000688238
  Cycles                             |  13703772400 |  13703772400
  IPC                                |         1.30 |         1.24
  Time (ns)                          |   3425943100 |   3425943100
  Idle time (ns)                     |     56104790 |       655298
  Idle time (%)                      |         1.6% |         0.0%
Branch predictor stats               |              |             
  num correct                        |    869246135 |    584762350
  num incorrect                      |       944573 |      1165599
  misprediction rate                 |        0.11% |        0.20%
  mpki                               |         0.05 |         0.07
TLB Summary                          |              |             
  I-TLB                              |              |             
    num accesses                     |   1476276548 |   1475676923
    num misses                       |          194 |           33
    miss rate                        |        0.00% |        0.00%
    mpki                             |         0.00 |         0.00
  D-TLB                              |              |             
    num accesses                     |   7335442799 |   7191507773
    num misses                       |     54869239 |     55120643
    miss rate                        |        0.75% |        0.77%
    mpki                             |         3.07 |         3.24
  L2 TLB                             |              |             
    num accesses                     |     54869433 |     55120676
    num misses                       |      3045672 |      3039169
    miss rate                        |        5.55% |        5.51%
    mpki                             |         0.17 |         0.18
Cache Summary                        |              |             
  Cache L1-I                         |              |             
    num cache accesses               |   1476276548 |   1475676923
    num cache misses                 |      1393186 |      1081528
    miss rate                        |        0.09% |        0.07%
    mpki                             |         0.08 |         0.06
  Cache L1-D                         |              |             
    num cache accesses               |   7335442799 |   7191507773
    num cache misses                 |    440501640 |    440269872
    miss rate                        |        6.01% |        6.12%
    mpki                             |        24.67 |        25.90
  Cache L2                           |              |             
    num cache accesses               |    462748149 |    466109713
    num cache misses                 |    179356436 |    178978939
    miss rate                        |       38.76% |       38.40%
    mpki                             |        10.04 |        10.53
  Cache L3                           |              |             
    num cache accesses               |    200209776 |    203737252
    num cache misses                 |     98232923 |    100524948
    miss rate                        |       49.06% |       49.34%
    mpki                             |         5.50 |         5.91
DRAM summary                         |              |             
  num dram accesses                  |    275461933 |            0
  average dram access latency (ns)   |        63.69 |          inf
  average dram queueing delay        |         2.44 |         0.00
  average dram bandwidth utilization |       10.00% |        0.00%
Coherency Traffic                    |              |             
  num loads from dram                |     83888756 |     86894661
  num loads from dram cache          |            0 |            0
  num loads from remote cache        |            0 |            0
