                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   53363808 |   52812163 |   51696706 |   54959313 |   81266435 |   79564956 |   79244736 |   78867806 |   87064041 |   87008015 |   87003142 |   86938934
  Cycles                             |   72074700 |   72074700 |   72074700 |   72074700 |   96099600 |   96099600 |   96099600 |   96099600 |   72074700 |   72074700 |   72074700 |   72074700
  IPC                                |       0.74 |       0.73 |       0.72 |       0.76 |       0.85 |       0.83 |       0.82 |       0.82 |       1.21 |       1.21 |       1.21 |       1.21
  Time (ns)                          |   24024900 |   24024900 |   24024900 |   24024900 |   24024900 |   24024900 |   24024900 |   24024900 |   24024900 |   24024900 |   24024900 |   24024900
  Idle time (ns)                     |       3322 |     251947 |     252521 |     252878 |     337687 |     389767 |     393999 |     384117 |    2312190 |    2318672 |    2342370 |    2306197
  Idle time (%)                      |       0.0% |       1.0% |       1.1% |       1.1% |       1.4% |       1.6% |       1.6% |       1.6% |       9.6% |       9.7% |       9.7% |       9.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    5428990 |    5364726 |    4981840 |    6075109 |   14529175 |   13960683 |   13885766 |   13756326 |   16672826 |   16661392 |   16663749 |   16634965
  num incorrect                      |       5244 |        430 |        504 |        508 |        562 |        545 |        676 |        563 |       1586 |       1560 |       1738 |       1795
  misprediction rate                 |      0.10% |      0.01% |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.10 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    6655210 |    6579625 |    6605945 |    6613488 |    7169178 |    7184905 |    7159893 |    7179834 |    6886164 |    6896807 |    6905247 |    6934430
    num misses                       |        117 |         24 |         22 |         24 |         24 |         24 |         24 |         22 |         22 |         24 |         22 |         22
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   18747961 |   18467253 |   18302370 |   18834622 |   24033853 |   23753918 |   23637029 |   23582594 |   24444919 |   24421043 |   24406319 |   24419372
    num misses                       |     861540 |     855765 |     855618 |     857853 |     857024 |     857203 |     856418 |     856202 |     855946 |     857295 |     857228 |     856349
    miss rate                        |      4.60% |      4.63% |      4.67% |      4.55% |      3.57% |      3.61% |      3.62% |      3.63% |      3.50% |      3.51% |      3.51% |      3.51%
    mpki                             |      16.14 |      16.20 |      16.55 |      15.61 |      10.55 |      10.77 |      10.81 |      10.86 |       9.83 |       9.85 |       9.85 |       9.85
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     861657 |     855789 |     855640 |     857877 |     857048 |     857227 |     856442 |     856224 |     855968 |     857319 |     857250 |     856371
    num misses                       |     352072 |     347295 |     349404 |     349351 |     351132 |     353101 |     350256 |     349315 |     351425 |     352333 |     348454 |     347198
    miss rate                        |     40.86% |     40.58% |     40.84% |     40.72% |     40.97% |     41.19% |     40.90% |     40.80% |     41.06% |     41.10% |     40.65% |     40.54%
    mpki                             |       6.60 |       6.58 |       6.76 |       6.36 |       4.32 |       4.44 |       4.42 |       4.43 |       4.04 |       4.05 |       4.01 |       3.99
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6655210 |    6579625 |    6605945 |    6613488 |    7169178 |    7184905 |    7159893 |    7179834 |    6886164 |    6896807 |    6905247 |    6934430
    num cache misses                 |       5273 |       1302 |       1271 |       1325 |        934 |        951 |        937 |        916 |       1289 |       1285 |       1358 |       1460
    miss rate                        |      0.08% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.10 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   18747961 |   18467253 |   18302370 |   18834622 |   24033853 |   23753918 |   23637029 |   23582594 |   24444919 |   24421043 |   24406319 |   24419372
    num cache misses                 |     959386 |     948825 |     949532 |     949879 |     977196 |     976879 |     973917 |     974295 |     966296 |     969738 |     967319 |     963232
    miss rate                        |      5.12% |      5.14% |      5.19% |      5.04% |      4.07% |      4.11% |      4.12% |      4.13% |      3.95% |      3.97% |      3.96% |      3.94%
    mpki                             |      17.98 |      17.97 |      18.37 |      17.28 |      12.02 |      12.28 |      12.29 |      12.35 |      11.10 |      11.15 |      11.12 |      11.08
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1014221 |     994292 |     996473 |     997417 |    1033446 |    1035284 |    1029618 |    1032489 |    1030394 |    1033338 |    1031323 |    1028181
    num cache misses                 |     353425 |     338517 |     337962 |     337396 |     338855 |     339011 |     336716 |     337841 |     352983 |     354110 |     354651 |     354748
    miss rate                        |     34.85% |     34.05% |     33.92% |     33.83% |     32.79% |     32.75% |     32.70% |     32.72% |     34.26% |     34.27% |     34.39% |     34.50%
    mpki                             |       6.62 |       6.41 |       6.54 |       6.14 |       4.17 |       4.26 |       4.25 |       4.28 |       4.05 |       4.07 |       4.08 |       4.08
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     402971 |     382532 |     383461 |     383428 |     394237 |     396543 |     391505 |     395100 |     415708 |     416040 |     416799 |     417753
