                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9695192 |    4394841 |   84091021 |  171985052 |   84061838 |   84314294 |  102389121 |   98776114 |   95216150 |   97544909 |  347914492 |  337095469 |  382492874 |  377778298 |    4577837
  Cycles                             |  244724700 |  244724700 |  244724700 |  244724700 |  322591650 |  322591650 |  322591650 |  322591650 |  244724700 |  244724700 |  244724700 |  244724700 |  322591650 |  322591650 |  322591650
  IPC                                |       0.04 |       0.02 |       0.34 |       0.70 |       0.26 |       0.26 |       0.32 |       0.31 |       0.39 |       0.40 |       1.42 |       1.38 |       1.19 |       1.17 |       0.01
  Time (ns)                          |  111238500 |  111238500 |  111238500 |  111238500 |  111238500 |  111238500 |  111238500 |  111238500 |  111238500 |  111238500 |  111238500 |  111238500 |  111238500 |  111238500 |  111238500
  Idle time (ns)                     |  107518457 |  108893862 |   61559814 |   12676745 |   61920110 |   61486166 |   95792646 |   96360134 |   93893032 |   93489380 |    9951645 |   10139073 |    8738736 |    7449397 |  109646979
  Idle time (%)                      |      96.7% |      97.9% |      55.3% |      11.4% |      55.7% |      55.3% |      86.1% |      86.6% |      84.4% |      84.0% |       8.9% |       9.1% |       7.9% |       6.7% |      98.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279128 |     172931 |    4227284 |    8658653 |    4224593 |    4237548 |     154753 |     154228 |     149752 |     146036 |   41653777 |   40432254 |   45738899 |   44940132 |     467570
  num incorrect                      |       7627 |        726 |        643 |       1475 |        621 |        622 |       2781 |       2782 |       2818 |       2543 |    2006102 |    2060867 |    1971397 |    2056739 |       9444
  misprediction rate                 |      0.59% |      0.42% |      0.02% |      0.02% |      0.01% |      0.01% |      1.77% |      1.77% |      1.85% |      1.71% |      4.59% |      4.85% |      4.13% |      4.38% |      1.98%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.77 |       6.11 |       5.15 |       5.44 |       2.06
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529734 |     430466 |    6352646 |   13010390 |    6347297 |    6367459 |    5759849 |    5563462 |    5364358 |    5485847 |   39852077 |   38611041 |   43338143 |   43058069 |     620385
    num misses                       |        113 |         35 |         33 |         32 |         32 |         32 |         39 |         39 |         39 |         38 |         46 |         45 |         46 |         47 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4835869 |    3838146 |   56692579 |  115948878 |   56681261 |   56848720 |   23938010 |   23123453 |   22294377 |   22798842 |  168166099 |  160651984 |  189124188 |  185514758 |    2506044
    num misses                       |      13657 |       5329 |        598 |       1923 |        592 |        596 |       2215 |       2193 |       2204 |       2098 |      19135 |      26290 |      23799 |      21283 |       3451
    miss rate                        |      0.28% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.14%
    mpki                             |       1.41 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.05 |       0.08 |       0.06 |       0.06 |       0.75
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      13770 |       5364 |        631 |       1955 |        624 |        628 |       2254 |       2232 |       2243 |       2136 |      19181 |      26335 |      23845 |      21330 |       3492
    num misses                       |       5835 |       5324 |        626 |       1197 |        614 |        616 |       1804 |       1770 |       1771 |       1701 |       1705 |       1745 |       2061 |       2087 |       2250
    miss rate                        |     42.37% |     99.25% |     99.21% |     61.23% |     98.40% |     98.09% |     80.04% |     79.30% |     78.96% |     79.63% |      8.89% |      6.63% |      8.64% |      9.78% |     64.43%
    mpki                             |       0.60 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.00 |       0.01 |       0.01 |       0.01 |       0.49
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529734 |     430466 |    6352646 |   13010390 |    6347297 |    6367459 |    5759849 |    5563462 |    5364358 |    5485847 |   39852077 |   38611041 |   43338143 |   43058069 |     620385
    num cache misses                 |       1989 |        559 |        644 |       1056 |        397 |        397 |       1075 |       1174 |       2095 |       2018 |      22881 |      22040 |      16457 |      17805 |        457
    miss rate                        |      0.13% |      0.13% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.04% |      0.04% |      0.06% |      0.06% |      0.04% |      0.04% |      0.07%
    mpki                             |       0.21 |       0.13 |       0.01 |       0.01 |       0.00 |       0.00 |       0.01 |       0.01 |       0.02 |       0.02 |       0.07 |       0.07 |       0.04 |       0.05 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4835869 |    3838146 |   56692579 |  115948878 |   56681261 |   56848720 |   23938010 |   23123453 |   22294377 |   22798842 |  168166099 |  160651984 |  189124188 |  185514758 |    2506044
    num cache misses                 |     173568 |     334390 |      36695 |      75019 |      36147 |      36318 |      49350 |      47947 |      46590 |      47119 |    3112978 |    2917025 |    2781700 |    2657511 |      21842
    miss rate                        |      3.59% |      8.71% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.85% |      1.82% |      1.47% |      1.43% |      0.87%
    mpki                             |      17.90 |      76.09 |       0.44 |       0.44 |       0.43 |       0.43 |       0.48 |       0.49 |       0.49 |       0.48 |       8.95 |       8.65 |       7.27 |       7.03 |       4.77
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     239679 |     372785 |      37657 |      76981 |      36863 |      37047 |      51179 |      49938 |      50296 |      50634 |    3137367 |    2940465 |    2799774 |    2677052 |      25718
    num cache misses                 |     162397 |     333607 |      36858 |      75022 |      36221 |      36370 |      49969 |      48535 |      47967 |      48484 |      98586 |      99260 |     105448 |     109086 |      16257
    miss rate                        |     67.76% |     89.49% |     97.88% |     97.46% |     98.26% |     98.17% |     97.64% |     97.19% |     95.37% |     95.75% |      3.14% |      3.38% |      3.77% |      4.07% |     63.21%
    mpki                             |      16.75 |      75.91 |       0.44 |       0.44 |       0.43 |       0.43 |       0.49 |       0.49 |       0.50 |       0.50 |       0.28 |       0.29 |       0.28 |       0.29 |       3.55
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     226524 |     371444 |      37176 |      75940 |      36540 |      36702 |      50723 |      49352 |      49579 |      49981 |     100187 |     100696 |     107160 |     110891 |      19679
    num cache misses                 |     154523 |     332919 |      35047 |      13650 |      29021 |      34963 |       3648 |       3996 |      45653 |      46022 |      62920 |      68346 |      73467 |      73722 |       6071
    miss rate                        |     68.21% |     89.63% |     94.27% |     17.97% |     79.42% |     95.26% |      7.19% |      8.10% |     92.08% |     92.08% |     62.80% |     67.87% |     68.56% |     66.48% |     30.85%
    mpki                             |      15.94 |      75.75 |       0.42 |       0.08 |       0.35 |       0.41 |       0.04 |       0.04 |       0.48 |       0.47 |       0.18 |       0.20 |       0.19 |       0.20 |       1.33
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     530063 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     530117 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.28 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.27 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      74525 |     203670 |      33093 |       9479 |      27317 |      33091 |       1968 |       1983 |       1482 |       1358 |        426 |        380 |        886 |        849 |       4495
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3273 |          2 |        406 |       1370 |        378 |        417 |        306 |        346 |      41423 |      42358 |      20603 |      25888 |      21587 |      21168 |        182
