                                     | Core 0     | Core 1    
  Instructions                       |  849932003 |  853684809
  Cycles                             |  331263600 |  331263600
  IPC                                |       2.57 |       2.58
  Time (ns)                          |   82815900 |   82815900
  Idle time (ns)                     |    1615687 |     465832
  Idle time (%)                      |       2.0% |       0.6%
Branch predictor stats               |            |           
  num correct                        |   50940790 |   52340147
  num incorrect                      |     309442 |     301945
  misprediction rate                 |      0.60% |      0.57%
  mpki                               |       0.36 |       0.35
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   74865277 |   74752884
    num misses                       |        193 |         25
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  281258332 |  281660127
    num misses                       |     176550 |     173528
    miss rate                        |      0.06% |      0.06%
    mpki                             |       0.21 |       0.20
  L2 TLB                             |            |           
    num accesses                     |     176743 |     173553
    num misses                       |      51974 |      50798
    miss rate                        |     29.41% |     29.27%
    mpki                             |       0.06 |       0.06
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   74865277 |   74752884
    num cache misses                 |      26363 |      15826
    miss rate                        |      0.04% |      0.02%
    mpki                             |       0.03 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |  281258332 |  281660127
    num cache misses                 |   31570408 |   31587982
    miss rate                        |     11.22% |     11.21%
    mpki                             |      37.14 |      37.00
  Cache L2                           |            |           
    num cache accesses               |   31982427 |   31998156
    num cache misses                 |    3166873 |    3139579
    miss rate                        |      9.90% |      9.81%
    mpki                             |       3.73 |       3.68
  Cache L3                           |            |           
    num cache accesses               |    4525686 |    4582835
    num cache misses                 |    2617537 |    2625412
    miss rate                        |     57.84% |     57.29%
    mpki                             |       3.08 |       3.08
DRAM summary                         |            |           
  num dram accesses                  |    4461744 |    4456727
  average dram access latency (ns)   |     711.71 |     701.80
  average dram queueing delay        |     650.46 |     640.55
  average dram bandwidth utilization |      6.00% |      6.00%
Coherency Traffic                    |            |           
  num loads from dram                |    1419767 |    1574205
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |     274048 |     140161
