                                     | Core 0     | Core 1    
  Instructions                       |  283299031 |  284022611
  Cycles                             |  306695300 |  306695300
  IPC                                |       0.92 |       0.93
  Time (ns)                          |  105757000 |  105757000
  Idle time (ns)                     |        168 |     273329
  Idle time (%)                      |       0.0% |       0.3%
Branch predictor stats               |            |           
  num correct                        |   21513774 |   21685779
  num incorrect                      |      38483 |      29526
  misprediction rate                 |      0.18% |      0.14%
  mpki                               |       0.14 |       0.10
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   41074345 |   41337170
    num misses                       |        131 |         23
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  105036706 |  105432009
    num misses                       |    5168503 |    5129765
    miss rate                        |      4.92% |      4.87%
    mpki                             |      18.24 |      18.06
  L2 TLB                             |            |           
    num accesses                     |    5168634 |    5129788
    num misses                       |    2102818 |    2089876
    miss rate                        |     40.68% |     40.74%
    mpki                             |       7.42 |       7.36
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   41074345 |   41337170
    num cache misses                 |       4568 |       1387
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.02 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |  105036706 |  105432009
    num cache misses                 |    2939393 |    2938237
    miss rate                        |      2.80% |      2.79%
    mpki                             |      10.38 |      10.35
  Cache L2                           |            |           
    num cache accesses               |    3336859 |    3314940
    num cache misses                 |    1985858 |    1981311
    miss rate                        |     59.51% |     59.77%
    mpki                             |       7.01 |       6.98
  Cache L3                           |            |           
    num cache accesses               |    2377728 |    2354382
    num cache misses                 |     685703 |     680661
    miss rate                        |     28.84% |     28.91%
    mpki                             |       2.42 |       2.40
DRAM summary                         |            |           
  num dram accesses                  |      72508 |      72437
  average dram access latency (ns)   |      61.92 |      61.61
  average dram queueing delay        |       0.67 |       0.35
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6638 |        246
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |     578080 |     578809
