                                     | Core 0     | Core 1    
  Instructions                       |  283790160 |  283632112
  Cycles                             |  298965060 |  298965060
  IPC                                |       0.95 |       0.95
  Time (ns)                          |  103091400 |  103091400
  Idle time (ns)                     |        285 |     272081
  Idle time (%)                      |       0.0% |       0.3%
Branch predictor stats               |            |           
  num correct                        |   21591282 |   21636737
  num incorrect                      |      38858 |      29298
  misprediction rate                 |      0.18% |      0.14%
  mpki                               |       0.14 |       0.10
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   41231593 |   41180017
    num misses                       |        131 |         23
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  105353873 |  105129547
    num misses                       |    5182961 |    5128993
    miss rate                        |      4.92% |      4.88%
    mpki                             |      18.26 |      18.08
  L2 TLB                             |            |           
    num accesses                     |    5183092 |    5129016
    num misses                       |    2102836 |    2088943
    miss rate                        |     40.57% |     40.73%
    mpki                             |       7.41 |       7.36
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   41231593 |   41180017
    num cache misses                 |       4569 |       1390
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.02 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |  105353873 |  105129547
    num cache misses                 |    2727754 |    2726614
    miss rate                        |      2.59% |      2.59%
    mpki                             |       9.61 |       9.61
  Cache L2                           |            |           
    num cache accesses               |    2852671 |    2846727
    num cache misses                 |    1777838 |    1762925
    miss rate                        |     62.32% |     61.93%
    mpki                             |       6.26 |       6.22
  Cache L3                           |            |           
    num cache accesses               |    1898191 |    1881648
    num cache misses                 |      77195 |      67753
    miss rate                        |      4.07% |      3.60%
    mpki                             |       0.27 |       0.24
DRAM summary                         |            |           
  num dram accesses                  |     144944 |          0
  average dram access latency (ns)   |    8389.26 |        inf
  average dram queueing delay        |    8328.01 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       7053 |        472
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
