                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |    9654187 |    4457888 |  340125294 |   84315422 |  198715193 |  195197056 |  728823276 |  716361953 |    4578750
  Cycles                             |  605259870 |  605259870 |  605259870 |  605259870 |  459162660 |  605259870 |  605259870 |  605259870 |  605259870
  IPC                                |       0.02 |       0.01 |       0.56 |       0.14 |       0.43 |       0.32 |       1.20 |       1.18 |       0.01
  Time (ns)                          |  208710300 |  208710300 |  208710300 |  208710300 |  208710300 |  208710300 |  208710300 |  208710300 |  208710300
  Idle time (ns)                     |  205777057 |  206580227 |    9751034 |  158962546 |  173403784 |  178773961 |    7860830 |    7661601 |  207169474
  Idle time (%)                      |      98.6% |      99.0% |       4.7% |      76.2% |      83.1% |      85.7% |       3.8% |       3.7% |      99.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1275563 |     183791 |   17108808 |    4237717 |     304727 |     298755 |   87153094 |   85582028 |     465622
  num incorrect                      |       7602 |        730 |       2359 |        632 |       5027 |       5131 |    4040319 |    4063792 |       7968
  misprediction rate                 |      0.59% |      0.40% |      0.01% |      0.01% |      1.62% |      1.69% |      4.43% |      4.53% |      1.68%
  mpki                               |       0.79 |       0.16 |       0.01 |       0.01 |       0.03 |       0.03 |       5.54 |       5.67 |       1.74
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    1524650 |     429954 |   25709345 |    6367614 |   11186455 |   10985621 |   83079018 |   81771121 |     618021
    num misses                       |        115 |         35 |         35 |         32 |         39 |         37 |         48 |         46 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    4812124 |    3881606 |  229316177 |   56849228 |   46491759 |   45655248 |  356181075 |  347253391 |    2511912
    num misses                       |      11139 |       5330 |       2250 |        595 |       4285 |       4367 |      40486 |      42036 |       3290
    miss rate                        |      0.23% |      0.14% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.13%
    mpki                             |       1.15 |       1.20 |       0.01 |       0.01 |       0.02 |       0.02 |       0.06 |       0.06 |       0.72
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |      11254 |       5365 |       2285 |        627 |       4324 |       4404 |      40534 |      42082 |       3331
    num misses                       |       3141 |       5324 |       2281 |        622 |       3341 |       3370 |       3921 |       3615 |       1989
    miss rate                        |     27.91% |     99.24% |     99.82% |     99.20% |     77.27% |     76.52% |      9.67% |      8.59% |     59.71%
    mpki                             |       0.33 |       1.19 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.43
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1524650 |     429954 |   25709345 |    6367614 |   11186455 |   10985621 |   83079018 |   81771121 |     618021
    num cache misses                 |       1844 |        459 |        966 |        396 |       3581 |       1349 |      39986 |      39545 |        544
    miss rate                        |      0.12% |      0.11% |      0.00% |      0.01% |      0.03% |      0.01% |      0.05% |      0.05% |      0.09%
    mpki                             |       0.19 |       0.10 |       0.00 |       0.00 |       0.02 |       0.01 |       0.05 |       0.06 |       0.12
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4812124 |    3881606 |  229316177 |   56849228 |   46491759 |   45655248 |  356181075 |  347253391 |    2511912
    num cache misses                 |     169187 |     334385 |     145419 |      36044 |      96067 |      93833 |    5112177 |    4895621 |      20234
    miss rate                        |      3.52% |      8.61% |      0.06% |      0.06% |      0.21% |      0.21% |      1.44% |      1.41% |      0.81%
    mpki                             |      17.52 |      75.01 |       0.43 |       0.43 |       0.48 |       0.48 |       7.01 |       6.83 |       4.42
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     235180 |     394670 |     148035 |      36724 |     101101 |      98226 |    5154953 |    4938174 |      24142
    num cache misses                 |     158799 |     333502 |     144619 |      36098 |      98612 |      94383 |     188149 |     178001 |      15956
    miss rate                        |     67.52% |     84.50% |     97.69% |     98.30% |     97.54% |     96.09% |      3.65% |      3.60% |     66.09%
    mpki                             |      16.45 |      74.81 |       0.43 |       0.43 |       0.50 |       0.48 |       0.26 |       0.25 |       3.48
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     222952 |     393329 |     146355 |      36386 |     100066 |      97427 |     191013 |     181173 |      19322
    num cache misses                 |     154365 |     332945 |     106687 |      34885 |       7088 |      92663 |     120129 |     143219 |       6179
    miss rate                        |     69.24% |     84.65% |     72.90% |     95.87% |      7.08% |     95.11% |     62.89% |     79.05% |     31.98%
    mpki                             |      15.99 |      74.69 |       0.31 |       0.41 |       0.04 |       0.47 |       0.16 |       0.20 |       1.35
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     545145 |          0 |          0 |          0 |          0 |     545070 |          0 |          0 |          0
  average dram access latency (ns)   |      61.31 |        inf |        inf |        inf |        inf |      61.31 |        inf |        inf |        inf
  average dram queueing delay        |       0.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.06 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |      73742 |     225660 |      97652 |      33009 |       3598 |       2861 |       1468 |        822 |       4487
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3953 |          1 |       2432 |        379 |        541 |      84609 |      28572 |      59576 |        348
