                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  485978754 |  500277491 |  495636252 |  486505120
  Cycles                             |  610757600 |  610757600 |  610757600 |  610757600
  IPC                                |       0.80 |       0.82 |       0.81 |       0.80
  Time (ns)                          |  152689400 |  152689400 |  152689400 |  152689400
  Idle time (ns)                     |     570716 |     424498 |     439816 |     248100
  Idle time (%)                      |       0.4% |       0.3% |       0.3% |       0.2%
Branch predictor stats               |            |            |            |           
  num correct                        |   29412374 |   34943218 |   33445650 |   30403218
  num incorrect                      |      16635 |       9928 |       9834 |       9896
  misprediction rate                 |      0.06% |      0.03% |      0.03% |      0.03%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   51256533 |   50882381 |   50855128 |   50854631
    num misses                       |        257 |         28 |         28 |         29
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  262840869 |  264275507 |  263433545 |  261910818
    num misses                       |     146681 |     147960 |     144245 |     144022
    miss rate                        |      0.06% |      0.06% |      0.05% |      0.05%
    mpki                             |       0.30 |       0.30 |       0.29 |       0.30
  L2 TLB                             |            |            |            |           
    num accesses                     |     146938 |     147988 |     144273 |     144051
    num misses                       |     101478 |     100438 |     100043 |      99787
    miss rate                        |     69.06% |     67.87% |     69.34% |     69.27%
    mpki                             |       0.21 |       0.20 |       0.20 |       0.21
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   51256533 |   50882381 |   50855128 |   50854631
    num cache misses                 |      44247 |      30914 |      31264 |      30979
    miss rate                        |      0.09% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.09 |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  262840869 |  264275507 |  263433545 |  261910818
    num cache misses                 |   10542259 |   10575225 |   10557889 |   10556256
    miss rate                        |      4.01% |      4.00% |      4.01% |      4.03%
    mpki                             |      21.69 |      21.14 |      21.30 |      21.70
  Cache L2                           |            |            |            |           
    num cache accesses               |   11433850 |   11439425 |   11423283 |   11420450
    num cache misses                 |    7787188 |    7747183 |    7729369 |    7717623
    miss rate                        |     68.11% |     67.72% |     67.66% |     67.58%
    mpki                             |      16.02 |      15.49 |      15.59 |      15.86
  Cache L3                           |            |            |            |           
    num cache accesses               |    8636215 |    8581405 |    8564145 |    8551437
    num cache misses                 |    5191698 |    5184898 |    5192087 |    5202682
    miss rate                        |     60.12% |     60.42% |     60.63% |     60.84%
    mpki                             |      10.68 |      10.36 |      10.48 |      10.69
DRAM summary                         |            |            |            |           
  num dram accesses                  |   30177700 |          0 |          0 |          0
  average dram access latency (ns)   |    4579.24 |        inf |        inf |        inf
  average dram queueing delay        |    4517.99 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     24.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |    3722663 |    3730685 |    3755268 |    3769707
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
