                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  193629875 |  199311149 |  200655800 |  204328618
  Cycles                             |   84524000 |   84524000 |   84524000 |   84524000
  IPC                                |       2.29 |       2.36 |       2.37 |       2.42
  Time (ns)                          |   21131000 |   21131000 |   21131000 |   21131000
  Idle time (ns)                     |      34251 |     297134 |     237093 |     303481
  Idle time (%)                      |       0.2% |       1.4% |       1.1% |       1.4%
Branch predictor stats               |            |            |            |           
  num correct                        |   11153410 |   13198113 |   13646450 |   14870439
  num incorrect                      |      83995 |      75993 |      76040 |      76142
  misprediction rate                 |      0.75% |      0.57% |      0.55% |      0.51%
  mpki                               |       0.43 |       0.38 |       0.38 |       0.37
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   17707477 |   17594292 |   17594181 |   17594306
    num misses                       |        218 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   62391041 |   63110206 |   63334023 |   63946411
    num misses                       |      55404 |      54676 |      52876 |      54593
    miss rate                        |      0.09% |      0.09% |      0.08% |      0.09%
    mpki                             |       0.29 |       0.27 |       0.26 |       0.27
  L2 TLB                             |            |            |            |           
    num accesses                     |      55622 |      54701 |      52901 |      54618
    num misses                       |      10986 |      10017 |       9961 |      10009
    miss rate                        |     19.75% |     18.31% |     18.83% |     18.33%
    mpki                             |       0.06 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   17707477 |   17594292 |   17594181 |   17594306
    num cache misses                 |      15096 |       4322 |       4475 |       4448
    miss rate                        |      0.09% |      0.02% |      0.03% |      0.03%
    mpki                             |       0.08 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   62391041 |   63110206 |   63334023 |   63946411
    num cache misses                 |    6975448 |    6958930 |    6958703 |    6958789
    miss rate                        |     11.18% |     11.03% |     10.99% |     10.88%
    mpki                             |      36.02 |      34.91 |      34.68 |      34.06
  Cache L2                           |            |            |            |           
    num cache accesses               |    7091012 |    7061379 |    7060914 |    7060495
    num cache misses                 |     828623 |     807530 |     806346 |     807215
    miss rate                        |     11.69% |     11.44% |     11.42% |     11.43%
    mpki                             |       4.28 |       4.05 |       4.02 |       3.95
  Cache L3                           |            |            |            |           
    num cache accesses               |    1183127 |    1133578 |    1118517 |    1104405
    num cache misses                 |     691976 |     643623 |     627827 |     612541
    miss rate                        |     58.49% |     56.78% |     56.13% |     55.46%
    mpki                             |       3.57 |       3.23 |       3.13 |       3.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |    4786214 |          0 |          0 |          0
  average dram access latency (ns)   |    2318.50 |        inf |        inf |        inf
  average dram queueing delay        |    2257.25 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     28.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |     437697 |     403467 |     390204 |     375425
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
