                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |    9653945 |    4461169 |  340125275 |   84315531 |  195139250 |  198774544 |  726798657 |  718448659 |    4531693
  Cycles                             |  477666420 |  477666420 |  477666420 |  477666420 |  629651190 |  477666420 |  477666420 |  477666420 |  477666420
  IPC                                |       0.02 |       0.01 |       0.71 |       0.18 |       0.31 |       0.42 |       1.52 |       1.50 |       0.01
  Time (ns)                          |  217121100 |  217121100 |  217121100 |  217121100 |  217121100 |  217121100 |  217121100 |  217121100 |  217121100
  Idle time (ns)                     |  213459752 |  214736234 |   17631270 |  167310134 |  188222020 |  180943896 |    8821591 |    8660640 |  215505526
  Idle time (%)                      |      98.3% |      98.9% |       8.1% |      77.1% |      86.7% |      83.3% |       4.1% |       4.0% |      99.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1275494 |     183986 |   17108821 |    4237719 |     298818 |     304905 |   86744574 |   85988687 |     463907
  num incorrect                      |       7609 |        727 |       2352 |        633 |       5136 |       5074 |    4038374 |    4079232 |       8363
  misprediction rate                 |      0.59% |      0.39% |      0.01% |      0.01% |      1.69% |      1.64% |      4.45% |      4.53% |      1.77%
  mpki                               |       0.79 |       0.16 |       0.01 |       0.01 |       0.03 |       0.03 |       5.56 |       5.68 |       1.85
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    1524596 |     430466 |   25709319 |    6367618 |   10982461 |   11189747 |   82849435 |   82006693 |     614905
    num misses                       |        114 |         35 |         35 |         32 |         37 |         39 |         47 |         46 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    4811992 |    3882374 |  229316121 |   56849241 |   45641976 |   46505582 |  355423273 |  348023486 |    2481699
    num misses                       |      11220 |       5329 |       2323 |        595 |       4352 |       4285 |      42328 |      37810 |       3219
    miss rate                        |      0.23% |      0.14% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.13%
    mpki                             |       1.16 |       1.19 |       0.01 |       0.01 |       0.02 |       0.02 |       0.06 |       0.05 |       0.71
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |      11334 |       5364 |       2358 |        627 |       4389 |       4324 |      42375 |      37856 |       3260
    num misses                       |       3167 |       5324 |       2281 |        622 |       3340 |       3350 |       3826 |       3499 |       1985
    miss rate                        |     27.94% |     99.25% |     96.73% |     99.20% |     76.10% |     77.47% |      9.03% |      9.24% |     60.89%
    mpki                             |       0.33 |       1.19 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.00 |       0.44
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1524596 |     430466 |   25709319 |    6367618 |   10982461 |   11189747 |   82849435 |   82006693 |     614905
