                                     | Core 0     | Core 1    
  Instructions                       |   18609729 |   18268262
  Cycles                             |   23303240 |   23303240
  IPC                                |       0.80 |       0.78
  Time (ns)                          |    8035600 |    8035600
  Idle time (ns)                     |        435 |     271628
  Idle time (%)                      |       0.0% |       3.4%
Branch predictor stats               |            |           
  num correct                        |    1472232 |    1441615
  num incorrect                      |      18535 |       9115
  misprediction rate                 |      1.24% |      0.63%
  mpki                               |       1.00 |       0.50
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1221629 |    1143736
    num misses                       |        131 |         23
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6904185 |    6727355
    num misses                       |      28783 |      24393
    miss rate                        |      0.42% |      0.36%
    mpki                             |       1.55 |       1.34
  L2 TLB                             |            |           
    num accesses                     |      28914 |      24416
    num misses                       |        613 |        292
    miss rate                        |      2.12% |      1.20%
    mpki                             |       0.03 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1221629 |    1143736
    num cache misses                 |       1858 |        142
    miss rate                        |      0.15% |      0.01%
    mpki                             |       0.10 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |    6904185 |    6727355
    num cache misses                 |     214353 |     202684
    miss rate                        |      3.10% |      3.01%
    mpki                             |      11.52 |      11.09
  Cache L2                           |            |           
    num cache accesses               |     348010 |     331771
    num cache misses                 |     125358 |     115839
    miss rate                        |     36.02% |     34.92%
    mpki                             |       6.74 |       6.34
  Cache L3                           |            |           
    num cache accesses               |     267005 |     253449
    num cache misses                 |     125352 |     115839
    miss rate                        |     46.95% |     45.71%
    mpki                             |       6.74 |       6.34
DRAM summary                         |            |           
  num dram accesses                  |       9014 |       8950
  average dram access latency (ns)   |      61.97 |      61.73
  average dram queueing delay        |       0.72 |       0.48
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6560 |         23
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |      90179 |      88544
