                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   81877741 |   82280334 |   81437719 |   80906028
  Cycles                             |   37080400 |   37080400 |   37080400 |   37080400
  IPC                                |       2.21 |       2.22 |       2.20 |       2.18
  Time (ns)                          |    9270100 |    9270100 |    9270100 |    9270100
  Idle time (ns)                     |      87176 |     246146 |     236509 |     237634
  Idle time (%)                      |       0.9% |       2.7% |       2.6% |       2.6%
Branch predictor stats               |            |            |            |           
  num correct                        |   13510224 |   14150590 |   13763607 |   13418719
  num incorrect                      |      64812 |      57764 |      59541 |      57942
  misprediction rate                 |      0.48% |      0.41% |      0.43% |      0.43%
  mpki                               |       0.79 |       0.70 |       0.73 |       0.72
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2920657 |    2701561 |    2744575 |    2853300
    num misses                       |        219 |         27 |         27 |         27
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   30993301 |   30351654 |   30331928 |   30442366
    num misses                       |      18336 |      21923 |      18562 |      20073
    miss rate                        |      0.06% |      0.07% |      0.06% |      0.07%
    mpki                             |       0.22 |       0.27 |       0.23 |       0.25
  L2 TLB                             |            |            |            |           
    num accesses                     |      18555 |      21950 |      18589 |      20100
    num misses                       |        736 |        341 |        328 |        294
    miss rate                        |      3.97% |      1.55% |      1.76% |      1.46%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2920657 |    2701561 |    2744575 |    2853300
    num cache misses                 |      12745 |        387 |        380 |        385
    miss rate                        |      0.44% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.16 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   30993301 |   30351654 |   30331928 |   30442366
    num cache misses                 |    2318189 |    2241569 |    2238048 |    2281630
    miss rate                        |      7.48% |      7.39% |      7.38% |      7.49%
    mpki                             |      28.31 |      27.24 |      27.48 |      28.20
  Cache L2                           |            |            |            |           
    num cache accesses               |    2353249 |    2260775 |    2257252 |    2300438
    num cache misses                 |      81556 |      71857 |      71682 |      72234
    miss rate                        |      3.47% |      3.18% |      3.18% |      3.14%
    mpki                             |       1.00 |       0.87 |       0.88 |       0.89
  Cache L3                           |            |            |            |           
    num cache accesses               |     104544 |      91107 |      90948 |      91086
    num cache misses                 |      19305 |       8697 |       8748 |       8787
    miss rate                        |     18.47% |      9.55% |      9.62% |      9.65%
    mpki                             |       0.24 |       0.11 |       0.11 |       0.11
DRAM summary                         |            |            |            |           
  num dram accesses                  |      45482 |          0 |          0 |          0
  average dram access latency (ns)   |    2782.35 |        inf |        inf |        inf
  average dram queueing delay        |    2721.10 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       7001 |        438 |        258 |        219
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
