                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |    4841860 |    4829566 |    4748644 |    4737281 |    4521814 |    5059433 |    5290607 |    5139372 |    5713109 |    5696343 |    5136704 |    5160832
  Cycles                             |   11764000 |   11764000 |   11764000 |   11764000 |    2941000 |    2941000 |   11764000 |   11764000 |   11764000 |   11764000 |    2941000 |    2941000
  IPC                                |       0.41 |       0.41 |       0.40 |       0.40 |       1.54 |       1.72 |       0.45 |       0.44 |       0.49 |       0.48 |       1.75 |       1.75
  Time (ns)                          |    2941000 |    2941000 |    2941000 |    2941000 |    2941000 |    2941000 |    2941000 |    2941000 |    2941000 |    2941000 |    2941000 |    2941000
  Idle time (ns)                     |        251 |     460245 |     461016 |     461554 |     461953 |     462339 |     462752 |     463207 |     463665 |     464062 |     464450 |     464844
  Idle time (%)                      |       0.0% |      15.6% |      15.7% |      15.7% |      15.7% |      15.7% |      15.7% |      15.7% |      15.8% |      15.8% |      15.8% |      15.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     467376 |     671280 |     645877 |     644819 |     638599 |     852270 |     931693 |     880246 |    1317465 |    1321577 |    1141687 |    1148895
  num incorrect                      |       8455 |       2286 |       2238 |       2126 |       2053 |       1745 |       1760 |       1839 |       1633 |       1470 |       1390 |       1401
  misprediction rate                 |      1.78% |      0.34% |      0.35% |      0.33% |      0.32% |      0.20% |      0.19% |      0.21% |      0.12% |      0.11% |      0.12% |      0.12%
  mpki                               |       1.75 |       0.47 |       0.47 |       0.45 |       0.45 |       0.34 |       0.33 |       0.36 |       0.29 |       0.26 |       0.27 |       0.27
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     512249 |     373228 |     373005 |     371933 |     349337 |     336977 |     335317 |     335734 |     239309 |     235879 |     231067 |     231377
    num misses                       |        217 |         34 |         34 |         34 |         34 |         34 |         34 |         34 |         34 |         27 |         30 |         30
    miss rate                        |      0.04% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2396144 |    2040716 |    2026447 |    2020215 |    1897216 |    1942215 |    1977734 |    1955143 |    1726894 |    1712160 |    1610135 |    1616109
    num misses                       |       1567 |        366 |        443 |        470 |        490 |        411 |        376 |        305 |        216 |        272 |        200 |        138
    miss rate                        |      0.07% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.01% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.32 |       0.08 |       0.09 |       0.10 |       0.11 |       0.08 |       0.07 |       0.06 |       0.04 |       0.05 |       0.04 |       0.03
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1784 |        400 |        477 |        504 |        524 |        445 |        410 |        339 |        250 |        299 |        230 |        168
    num misses                       |        536 |        166 |        172 |        176 |        177 |        172 |        163 |        158 |        146 |        139 |        135 |        126
    miss rate                        |     30.04% |     41.50% |     36.06% |     34.92% |     33.78% |     38.65% |     39.76% |     46.61% |     58.40% |     46.49% |     58.70% |     75.00%
    mpki                             |       0.11 |       0.03 |       0.04 |       0.04 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02 |       0.03 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     512249 |     373228 |     373005 |     371933 |     349337 |     336977 |     335317 |     335734 |     239309 |     235879 |     231067 |     231377
    num cache misses                 |       6901 |        471 |        474 |        469 |        495 |        528 |        463 |        467 |        479 |        404 |        411 |        411
