                                     | Core 0      | Core 1     
  Instructions                       |  9219378972 |  9262007591
  Cycles                             |  3436614400 |  3436614400
  IPC                                |        2.68 |        2.70
  Time (ns)                          |   859153600 |   859153600
  Idle time (ns)                     |         505 |      249279
  Idle time (%)                      |        0.0% |        0.0%
Branch predictor stats               |             |            
  num correct                        |    40841429 |    55408174
  num incorrect                      |      150593 |      138711
  misprediction rate                 |       0.37% |       0.25%
  mpki                               |        0.02 |        0.01
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   867707633 |   867445959
    num misses                       |         204 |          38
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |  4241348444 |  4247883705
    num misses                       |     5160780 |     5135626
    miss rate                        |       0.12% |       0.12%
    mpki                             |        0.56 |        0.55
  L2 TLB                             |             |            
    num accesses                     |     5160984 |     5135664
    num misses                       |      104680 |      122998
    miss rate                        |       2.03% |       2.39%
    mpki                             |        0.01 |        0.01
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   867707633 |   867445959
    num cache misses                 |      575245 |      434799
    miss rate                        |       0.07% |       0.05%
    mpki                             |        0.06 |        0.05
  Cache L1-D                         |             |            
    num cache accesses               |  4241348444 |  4247883705
    num cache misses                 |   144448122 |   143569202
    miss rate                        |       3.41% |       3.38%
    mpki                             |       15.67 |       15.50
  Cache L2                           |             |            
    num cache accesses               |   145030053 |   144014661
    num cache misses                 |    18974357 |    18732570
    miss rate                        |      13.08% |      13.01%
    mpki                             |        2.06 |        2.02
  Cache L3                           |             |            
    num cache accesses               |    18981291 |    18743230
    num cache misses                 |       30868 |       19689
    miss rate                        |       0.16% |       0.11%
    mpki                             |        0.00 |        0.00
DRAM summary                         |             |            
  num dram accesses                  |       50534 |           0
  average dram access latency (ns)   |      499.36 |         inf
  average dram queueing delay        |      438.11 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |       11157 |        4387
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
