                                     | Core 0     | Core 1    
  Instructions                       |   18811922 |   18078469
  Cycles                             |   20463270 |   20463270
  IPC                                |       0.92 |       0.88
  Time (ns)                          |    7056300 |    7056300
  Idle time (ns)                     |        367 |     271992
  Idle time (%)                      |       0.0% |       3.9%
Branch predictor stats               |            |           
  num correct                        |    1505139 |    1412367
  num incorrect                      |      19012 |       8616
  misprediction rate                 |      1.25% |      0.61%
  mpki                               |       1.01 |       0.48
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1223583 |    1141700
    num misses                       |        132 |         23
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    7021475 |    6611556
    num misses                       |      28838 |      24187
    miss rate                        |      0.41% |      0.37%
    mpki                             |       1.53 |       1.34
  L2 TLB                             |            |           
    num accesses                     |      28970 |      24210
    num misses                       |        601 |        322
    miss rate                        |      2.07% |      1.33%
    mpki                             |       0.03 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1223583 |    1141700
    num cache misses                 |       1880 |        142
    miss rate                        |      0.15% |      0.01%
    mpki                             |       0.10 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |    7021475 |    6611556
    num cache misses                 |     156151 |     143543
    miss rate                        |      2.22% |      2.17%
    mpki                             |       8.30 |       7.94
  Cache L2                           |            |           
    num cache accesses               |     184386 |     167084
    num cache misses                 |      63299 |      53508
    miss rate                        |     34.33% |     32.02%
    mpki                             |       3.36 |       2.96
  Cache L3                           |            |           
    num cache accesses               |     100059 |      88816
    num cache misses                 |      13667 |       4299
    miss rate                        |     13.66% |      4.84%
    mpki                             |       0.73 |       0.24
DRAM summary                         |            |           
  num dram accesses                  |      17966 |          0
  average dram access latency (ns)   |     318.18 |        inf
  average dram queueing delay        |     256.93 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6615 |         93
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
