14485,6393,4254,152223,11230,3194,5926,6325,4893,3212,3381,6961,7557,5965,0
17751,6355,5989,197240,11858,4557,4817,3479,6376,2323,7454,12975,6869,0,5965
211793,701,777,21784,3324,656,6714,1987234,11612,1890827,1692166,2857223,0,6869,7557
44294,5278,2533,81654,4504,2465,6288,8476,19430,10782,7787,0,2857223,12975,6961
26800,2192,1394,49915,3301,797,2980,4909,13457,7024,0,7787,1692166,7454,3381
26938,2531,1223,50791,2760,1290,6207,7027,15046,0,7024,10782,1890827,2323,3212
114950,4903,5531,161627,7682,4673,4963,13907,0,15046,13457,19430,11612,6376,4893
27900,1957,1862,52836,3185,774,4718,0,13907,7027,4909,8476,1987234,3479,6325
14112,3815,4732,170132,10187,4858,0,4718,4963,6207,2980,6288,6714,4817,5926
6571,858,710,1046252,1544,0,4858,774,4673,1290,797,2465,656,4557,3194
7228,2580,1206,2133719,0,1544,10187,3185,7682,2760,3301,4504,3324,11858,11230
6699,1054703,1046957,0,2133719,1046252,170132,52836,161627,50791,49915,81654,21784,197240,152223
4284,1024,0,1046957,1206,710,4732,1862,5531,1223,1394,2533,777,5989,4254
7595,0,1024,1054703,2580,858,3815,1957,4903,2531,2192,5278,701,6355,6393
0,7595,4284,6699,7228,6571,14112,27900,114950,26938,26800,44294,211793,17751,14485

