                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |    9654031 |    4457921 |   84315468 |  340124058 |  198715082 |  195197989 |  716361925 |  728831216 |    4578203
  Cycles                             |  605285970 |  605285970 |  605285970 |  605285970 |  459182460 |  605285970 |  605285970 |  605285970 |  605285970
  IPC                                |       0.02 |       0.01 |       0.14 |       0.56 |       0.43 |       0.32 |       1.18 |       1.20 |       0.01
  Time (ns)                          |  208719300 |  208719300 |  208719300 |  208719300 |  208719300 |  208719300 |  208719300 |  208719300 |  208719300
  Idle time (ns)                     |  205789704 |  206589000 |  158970908 |    9583298 |  173443743 |  178775633 |    7661090 |    7826852 |  207166402
  Idle time (%)                      |      98.6% |      99.0% |      76.2% |       4.6% |      83.1% |      85.7% |       3.7% |       3.7% |      99.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1275541 |     183793 |    4237718 |   17108646 |     304685 |     298909 |   85572975 |   87143904 |     465538
  num incorrect                      |       7593 |        730 |        636 |       2345 |       5063 |       5134 |    4073318 |    4051068 |       7981
  misprediction rate                 |      0.59% |      0.40% |      0.02% |      0.01% |      1.63% |      1.69% |      4.54% |      4.44% |      1.69%
  mpki                               |       0.79 |       0.16 |       0.01 |       0.01 |       0.03 |       0.03 |       5.69 |       5.56 |       1.74
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    1524632 |     429961 |    6367619 |   25709157 |   11186424 |   10985729 |   81770598 |   83079909 |     617922
    num misses                       |        120 |         36 |         34 |         35 |         39 |         37 |         46 |         47 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    4812051 |    3881623 |   56849250 |  229315601 |   46491706 |   45655627 |  347251498 |  356184442 |    2511757
    num misses                       |      12269 |       5346 |        616 |       2309 |       4313 |       4381 |      45192 |      44845 |       8163
    miss rate                        |      0.25% |      0.14% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.32%
    mpki                             |       1.27 |       1.20 |       0.01 |       0.01 |       0.02 |       0.02 |       0.06 |       0.06 |       1.78
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |      12389 |       5382 |        650 |       2344 |       4352 |       4418 |      45238 |      44892 |       8204
    num misses                       |       3280 |       5326 |        623 |       2272 |       3358 |       3370 |       3749 |       4056 |       2141
    miss rate                        |     26.48% |     98.96% |     95.85% |     96.93% |     77.16% |     76.28% |      8.29% |      9.04% |     26.10%
    mpki                             |       0.34 |       1.19 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.47
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1524632 |     429961 |    6367619 |   25709157 |   11186424 |   10985729 |   81770598 |   83079909 |     617922
    num cache misses                 |       1826 |        463 |        402 |        940 |       4289 |       1714 |      33829 |      33843 |        467
    miss rate                        |      0.12% |      0.11% |      0.01% |      0.00% |      0.04% |      0.02% |      0.04% |      0.04% |      0.08%
    mpki                             |       0.19 |       0.10 |       0.00 |       0.00 |       0.02 |       0.01 |       0.05 |       0.05 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4812051 |    3881623 |   56849250 |  229315601 |   46491706 |   45655627 |  347251498 |  356184442 |    2511757
    num cache misses                 |     169187 |     334386 |      36033 |     145425 |      96048 |      93803 |    4893094 |    5111513 |      20388
    miss rate                        |      3.52% |      8.61% |      0.06% |      0.06% |      0.21% |      0.21% |      1.41% |      1.44% |      0.81%
