                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5    
  Instructions                       |     9633387 |     4431576 |   424433293 |   393906450 |  1445539257 |    3781399
  Cycles                             |  1224212670 |  1224212670 |  1224212670 |  1224212670 |   928713060 |  928713060
  IPC                                |        0.01 |        0.00 |        0.35 |        0.32 |        1.56 |       0.00
  Time (ns)                          |   422142300 |   422142300 |   422142300 |   422142300 |   422142300 |  422142300
  Idle time (ns)                     |   419186190 |   420033816 |   171796067 |   364605567 |     6629333 |  420753977
  Idle time (%)                      |       99.3% |       99.5% |       40.7% |       86.4% |        1.6% |      99.7%
Branch predictor stats               |             |             |             |             |             |           
  num correct                        |     1273782 |      179068 |    21345581 |      603238 |   172818830 |     414017
  num incorrect                      |        7532 |         727 |        2740 |        9540 |     8110869 |       6448
  misprediction rate                 |       0.59% |       0.40% |       0.01% |       1.56% |       4.48% |      1.53%
  mpki                               |        0.78 |        0.16 |        0.01 |        0.02 |        5.61 |       1.71
TLB Summary                          |             |             |             |             |             |           
  I-TLB                              |             |             |             |             |             |           
    num accesses                     |     1522048 |      430466 |    32076284 |    22171581 |   164871328 |     543588
    num misses                       |         113 |          35 |          33 |          39 |          47 |         41
    miss rate                        |       0.01% |       0.01% |       0.00% |       0.00% |       0.00% |      0.01%
    mpki                             |        0.01 |        0.01 |        0.00 |        0.00 |        0.00 |       0.01
  D-TLB                              |             |             |             |             |             |           
    num accesses                     |     4800102 |     3862704 |   286161373 |    92143820 |   703497930 |    2040183
    num misses                       |       10192 |        5331 |        2851 |        8492 |       93788 |       1277
    miss rate                        |       0.21% |       0.14% |       0.00% |       0.01% |       0.01% |      0.06%
    mpki                             |        1.06 |        1.20 |        0.01 |        0.02 |        0.06 |       0.34
  L2 TLB                             |             |             |             |             |             |           
    num accesses                     |       10305 |        5366 |        2884 |        8531 |       93835 |       1318
    num misses                       |        3147 |        5324 |        2815 |        6354 |        5468 |       1095
    miss rate                        |      30.54% |      99.22% |      97.61% |      74.48% |       5.83% |     83.08%
    mpki                             |        0.33 |        1.20 |        0.01 |        0.02 |        0.00 |       0.29
Cache Summary                        |             |             |             |             |             |           
  Cache L1-I                         |             |             |             |             |             |           
    num cache accesses               |     1522048 |      430466 |    32076284 |    22171581 |   164871328 |     543588
    num cache misses                 |        1838 |         459 |        1108 |        3749 |       89653 |        591
    miss rate                        |       0.12% |       0.11% |       0.00% |       0.02% |       0.05% |      0.11%
    mpki                             |        0.19 |        0.10 |        0.00 |        0.01 |        0.06 |       0.16
  Cache L1-D                         |             |             |             |             |             |           
    num cache accesses               |     4800102 |     3862704 |   286161373 |    92143820 |   703497930 |    2040183
    num cache misses                 |      169023 |      334374 |      178976 |      188574 |    13108138 |      20450
    miss rate                        |       3.52% |       8.66% |       0.06% |       0.20% |       1.86% |      1.00%
    mpki                             |       17.55 |       75.45 |        0.42 |        0.48 |        9.07 |       5.41
  Cache L2                           |             |             |             |             |             |           
    num cache accesses               |      232928 |      384953 |      180617 |      195125 |    13201867 |      22999
    num cache misses                 |      158609 |      333495 |      177693 |      189509 |      326714 |      17417
    miss rate                        |      68.09% |      86.63% |      98.38% |      97.12% |       2.47% |     75.73%
    mpki                             |       16.46 |       75.25 |        0.42 |        0.48 |        0.23 |       4.61
  Cache L3                           |             |             |             |             |             |           
    num cache accesses               |      220681 |      383616 |      178362 |      192312 |      332071 |      19379
    num cache misses                 |      151746 |      332943 |      172991 |       12625 |       86600 |       3322
    miss rate                        |      68.76% |      86.79% |      96.99% |       6.56% |      26.08% |     17.14%
    mpki                             |       15.75 |       75.13 |        0.41 |        0.03 |        0.06 |       0.88
DRAM summary                         |             |             |             |             |             |           
  num dram accesses                  |     1071643 |           0 |           0 |           0 |           0 |          0
  average dram access latency (ns)   |       61.85 |         inf |         inf |         inf |         inf |        inf
  average dram queueing delay        |        0.60 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00%
Coherency Traffic                    |             |             |             |             |             |           
  num loads from dram                |       75598 |      215955 |      166460 |        7774 |        2637 |       2484
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |          0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |          0
