                                     | Core 0      | Core 1     
  Instructions                       |  4118067602 |  4165133528
  Cycles                             |  5528408000 |  5528408000
  IPC                                |        0.74 |        0.75
  Time (ns)                          |  1382102000 |  1382102000
  Idle time (ns)                     |     4652514 |      238008
  Idle time (%)                      |        0.3% |        0.0%
Branch predictor stats               |             |            
  num correct                        |   759196896 |   774469872
  num incorrect                      |     2270128 |     2294643
  misprediction rate                 |       0.30% |       0.30%
  mpki                               |        0.55 |        0.55
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   224084413 |   225663814
    num misses                       |         261 |          27
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |  1461674199 |  1469101985
    num misses                       |     1714347 |     1764717
    miss rate                        |       0.12% |       0.12%
    mpki                             |        0.42 |        0.42
  L2 TLB                             |             |            
    num accesses                     |     1714608 |     1764744
    num misses                       |     1317497 |     1315706
    miss rate                        |      76.84% |      74.56%
    mpki                             |        0.32 |        0.32
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   224084413 |   225663814
    num cache misses                 |       53151 |       37377
    miss rate                        |       0.02% |       0.02%
    mpki                             |        0.01 |        0.01
  Cache L1-D                         |             |            
    num cache accesses               |  1461674199 |  1469101985
    num cache misses                 |   419699479 |   419511591
    miss rate                        |      28.71% |      28.56%
    mpki                             |      101.92 |      100.72
  Cache L2                           |             |            
    num cache accesses               |   421782554 |   421575036
    num cache misses                 |    80338628 |    80306055
    miss rate                        |      19.05% |      19.05%
    mpki                             |       19.51 |       19.28
  Cache L3                           |             |            
    num cache accesses               |    82416299 |    82376003
    num cache misses                 |    77601342 |    77610509
    miss rate                        |      94.16% |      94.21%
    mpki                             |       18.84 |       18.63
DRAM summary                         |             |            
  num dram accesses                  |   161104366 |           0
  average dram access latency (ns)   |       72.06 |         inf
  average dram queueing delay        |       10.81 |        0.00
  average dram bandwidth utilization |      14.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |    76805889 |    76823535
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
