                                     | Core 0       | Core 1       | Core 2       | Core 3       | Core 4      | Core 5     
  Instructions                       |   6226732352 |   6298241669 |   6242534345 |   6139312787 |  5990125018 |  6173013214
  Cycles                             |  13735561600 |  13735561600 |  13735561600 |  13735561600 |  3433890400 |  3433890400
  IPC                                |         0.45 |         0.46 |         0.45 |         0.45 |        1.74 |        1.80
  Time (ns)                          |   3433890400 |   3433890400 |   3433890400 |   3433890400 |  3433890400 |  3433890400
  Idle time (ns)                     |          318 |       532973 |       554924 |       576919 |      599467 |      621720
  Idle time (%)                      |         0.0% |         0.0% |         0.0% |         0.0% |        0.0% |        0.0%
Branch predictor stats               |              |              |              |              |             |            
  num correct                        |    288619910 |    313647780 |    295082675 |    260672131 |   485582010 |   546545137
  num incorrect                      |       433070 |       420091 |       418073 |       419674 |      361476 |      361867
  misprediction rate                 |        0.15% |        0.13% |        0.14% |        0.16% |       0.07% |       0.07%
  mpki                               |         0.07 |         0.07 |         0.07 |         0.07 |        0.06 |        0.06
TLB Summary                          |              |              |              |              |             |            
  I-TLB                              |              |              |              |              |             |            
    num accesses                     |    519287875 |    518543995 |    518543804 |    518543804 |   438842734 |   438842746
    num misses                       |          202 |           33 |           33 |           33 |          33 |          33
    miss rate                        |        0.00% |        0.00% |        0.00% |        0.00% |       0.00% |       0.00%
    mpki                             |         0.00 |         0.00 |         0.00 |         0.00 |        0.00 |        0.00
  D-TLB                              |              |              |              |              |             |            
    num accesses                     |   2570758283 |   2580503584 |   2571215695 |   2554015030 |  2295285374 |  2325765339
    num misses                       |     19239282 |     19851415 |     19290327 |     19362369 |    15903037 |    15928434
    miss rate                        |        0.75% |        0.77% |        0.75% |        0.76% |       0.69% |       0.68%
    mpki                             |         3.09 |         3.15 |         3.09 |         3.15 |        2.65 |        2.58
  L2 TLB                             |              |              |              |              |             |            
    num accesses                     |     19239484 |     19851448 |     19290360 |     19362402 |    15903070 |    15928467
    num misses                       |       759580 |       696494 |       722546 |       800528 |      601502 |      661458
    miss rate                        |        3.95% |        3.51% |        3.75% |        4.13% |       3.78% |       4.15%
    mpki                             |         0.12 |         0.11 |         0.12 |         0.13 |        0.10 |        0.11
Cache Summary                        |              |              |              |              |             |            
  Cache L1-I                         |              |              |              |              |             |            
    num cache accesses               |    519287875 |    518543995 |    518543804 |    518543804 |   438842734 |   438842746
    num cache misses                 |       786083 |       522862 |       485969 |       484772 |      849820 |      861896
    miss rate                        |        0.15% |        0.10% |        0.09% |        0.09% |       0.19% |       0.20%
    mpki                             |         0.13 |         0.08 |         0.08 |         0.08 |        0.14 |        0.14
  Cache L1-D                         |              |              |              |              |             |            
    num cache accesses               |   2570758283 |   2580503584 |   2571215695 |   2554015030 |  2295285374 |  2325765339
    num cache misses                 |    154750586 |    154449443 |    154435015 |    154443367 |   131749308 |   131747375
    miss rate                        |        6.02% |        5.99% |        6.01% |        6.05% |       5.74% |       5.66%
    mpki                             |        24.85 |        24.52 |        24.74 |        25.16 |       21.99 |       21.34
  Cache L2                           |              |              |              |              |             |            
    num cache accesses               |    164864732 |    164464460 |    165351577 |    165406072 |   139198957 |   139054960
    num cache misses                 |     59070345 |     58791463 |     58890444 |     58634919 |    66252063 |    66246607
    miss rate                        |       35.83% |       35.75% |       35.62% |       35.45% |      47.60% |      47.64%
    mpki                             |         9.49 |         9.33 |         9.43 |         9.55 |       11.06 |       10.73
  Cache L3                           |              |              |              |              |             |            
    num cache accesses               |     68441425 |     68391138 |     69372146 |     69176025 |    72852237 |    72692697
    num cache misses                 |     38849670 |     38010239 |     38633164 |     37961065 |    31150179 |    30674119
    miss rate                        |       56.76% |       55.58% |       55.69% |       54.88% |      42.76% |      42.20%
    mpki                             |         6.24 |         6.04 |         6.19 |         6.18 |        5.20 |        4.97
DRAM summary                         |              |              |              |              |             |            
  num dram accesses                  |    304837093 |            0 |            0 |            0 |           0 |           0
  average dram access latency (ns)   |        68.30 |          inf |          inf |          inf |         inf |         inf
  average dram queueing delay        |         7.05 |         0.00 |         0.00 |         0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       11.00% |        0.00% |        0.00% |        0.00% |       0.00% |       0.00%
Coherency Traffic                    |              |              |              |              |             |            
  num loads from dram                |     32717151 |     32304827 |     33034595 |     32258724 |    25590009 |    25470420
  num loads from dram cache          |            0 |            0 |            0 |            0 |           0 |           0
  num loads from remote cache        |            0 |            0 |            0 |            0 |           0 |           0
