                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9696414 |    4410589 |  171985011 |   84314342 |   84089107 |   84061949 |   97201581 |   98218814 |   96184678 |  102321762 |  375915017 |  341752099 |  345224458 |  382385738 |    4572490
  Cycles                             |  243816760 |  321394820 |  243816760 |  321394820 |  321394820 |  321394820 |  243816760 |  243816760 |  243816760 |  321394820 |  321394820 |  243816760 |  243816760 |  321394820 |  321394820
  IPC                                |       0.04 |       0.01 |       0.71 |       0.26 |       0.26 |       0.26 |       0.40 |       0.40 |       0.39 |       0.32 |       1.17 |       1.40 |       1.42 |       1.19 |       0.01
  Time (ns)                          |  110825800 |  110825800 |  110825800 |  110825800 |  110825800 |  110825800 |  110825800 |  110825800 |  110825800 |  110825800 |  110825800 |  110825800 |  110825800 |  110825800 |  110825800
  Idle time (ns)                     |  107080438 |  108717833 |   11979961 |   61064092 |   61203071 |   61325216 |   93370996 |   92927125 |   93283869 |   95104316 |    7688677 |   10159276 |    9188388 |    7838500 |  109245280
  Idle time (%)                      |      96.6% |      98.1% |      10.8% |      55.1% |      55.2% |      55.3% |      84.3% |      83.8% |      84.2% |      85.8% |       6.9% |       9.2% |       8.3% |       7.1% |      98.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279325 |     175565 |    8658656 |    4237548 |    4226923 |    4224603 |     150948 |     147554 |     150651 |     155827 |   44991166 |   41045510 |   41430121 |   45275500 |     468323
  num incorrect                      |       7663 |        727 |       1476 |        624 |        629 |        626 |       2720 |       2648 |       2757 |       2761 |    2042128 |    2055297 |    2050036 |    1969301 |       8289
  misprediction rate                 |      0.60% |      0.41% |      0.02% |      0.01% |      0.01% |      0.01% |      1.77% |      1.76% |      1.80% |      1.74% |      4.34% |      4.77% |      4.71% |      4.17% |      1.74%
  mpki                               |       0.79 |       0.16 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.43 |       6.01 |       5.94 |       5.15 |       1.81
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529898 |     430469 |   13010372 |    6367473 |    6352512 |    6347312 |    5473725 |    5523848 |    5418101 |    5757763 |   42817746 |   39300990 |   39408270 |   43332464 |     619393
    num misses                       |        114 |         36 |         32 |         32 |         35 |         34 |         39 |         39 |         39 |         39 |         46 |         40 |         47 |         40 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
