                                     | Core 0     | Core 1    
  Instructions                       |  379629566 |  386625683
  Cycles                             |  160956000 |  160956000
  IPC                                |       2.36 |       2.40
  Time (ns)                          |   53652000 |   53652000
  Idle time (ns)                     |        417 |     309965
  Idle time (%)                      |       0.0% |       0.6%
Branch predictor stats               |            |           
  num correct                        |   19921564 |   22400584
  num incorrect                      |     158725 |     151510
  misprediction rate                 |      0.79% |      0.67%
  mpki                               |       0.42 |       0.39
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   35298261 |   35186778
    num misses                       |        201 |         25
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  123272464 |  124216693
    num misses                       |     108234 |     107592
    miss rate                        |      0.09% |      0.09%
    mpki                             |       0.29 |       0.28
  L2 TLB                             |            |           
    num accesses                     |     108435 |     107617
    num misses                       |      24663 |      23863
    miss rate                        |     22.74% |     22.17%
    mpki                             |       0.06 |       0.06
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   35298261 |   35186778
    num cache misses                 |      28499 |      17142
    miss rate                        |      0.08% |      0.05%
    mpki                             |       0.08 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |  123272464 |  124216693
    num cache misses                 |   13933137 |   13915838
    miss rate                        |     11.30% |     11.20%
    mpki                             |      36.70 |      35.99
  Cache L2                           |            |           
    num cache accesses               |   14159299 |   14127423
    num cache misses                 |    1623873 |    1603054
    miss rate                        |     11.47% |     11.35%
    mpki                             |       4.28 |       4.15
  Cache L3                           |            |           
    num cache accesses               |    2213546 |    2164580
    num cache misses                 |    1216794 |    1170931
    miss rate                        |     54.97% |     54.10%
    mpki                             |       3.21 |       3.03
DRAM summary                         |            |           
  num dram accesses                  |    4417971 |          0
  average dram access latency (ns)   |     986.88 |        inf
  average dram queueing delay        |     925.63 |       0.00
  average dram bandwidth utilization |     10.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |     745142 |     710195
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
