1895974,320196,23501,8132,4304,4416,13308,75031,6918,18949,19168,76393,21504,71726,152843,87188,11857766,13282145,9075129,20324359,12768227,5000718,7174414,0
147703,692756,4108,6620,10044,456,28356,1184,15268,60,32,720,452,41228,87804,37128,6052,13912,7220,14684,55572,27348,0,7174414
132758,650151,3920,6388,9320,496,23080,1792,15232,0,8,164,576,26328,75464,43952,7660,15372,7796,10708,46924,0,27348,5000718
289502,1344734,9912,16364,25392,1256,59620,2016,27476,0,8,896,1028,109728,160760,79228,16156,35836,14912,27532,0,46924,55572,12768227
248844,1201654,33032,25796,28816,11432,3576,2348,6908,26092,49972,62860,56828,6308,86640,2448,35128,44992,34368,0,27532,10708,14684,20324359
146327,700387,20648,11061,12516,6792,1708,512,3700,8796,42336,39176,13436,308,57404,764,21680,35660,0,34368,14912,7796,7220,9075129
146608,709216,15664,14236,14128,9480,2132,660,5784,35904,18800,28340,24992,1560,55144,896,41100,0,35660,44992,35836,15372,13912,13282145
145828,685160,15144,10824,19900,7576,2220,752,4668,37728,5064,44360,20688,652,54280,1816,0,41100,21680,35128,16156,7660,6052,11857766
103581,914924,6572,2852,5864,17384,94348,46789,25572,2860,3088,4056,5068,39668,37412,0,1816,896,764,2448,79228,43952,37128,87188
110138,920009,9344,3156,5424,19364,80528,55212,49976,3540,3912,10512,4104,66264,0,37412,54280,55144,57404,86640,160760,75464,87804,152843
119963,964026,7632,3064,7260,18992,95277,43112,33113,3132,3252,9920,2332,0,66264,39668,652,1560,308,6308,109728,26328,41228,71726
891642,605385,48472,22228,17504,24348,300,200,128,22224,18096,39604,0,2332,4104,5068,20688,24992,13436,56828,1028,576,452,21504
136000,961150,107868,45948,45680,26388,444,120,308,40356,47484,0,39604,9920,10512,4056,44360,28340,39176,62860,896,164,720,76393
86937,636217,57752,24252,15352,24485,0,8,16,15516,0,47484,18096,3252,3912,3088,5064,18800,42336,49972,8,8,32,19168
81964,634546,38525,23708,24197,28472,12,8,128,0,15516,40356,22224,3132,3540,2860,37728,35904,8796,26092,0,0,60,18949
30355,1064122,2676,2264,3716,1240,13820,3416,0,128,16,308,128,33113,49976,25572,4668,5784,3700,6908,27476,15232,15268,6918
18683,1061771,5048,2764,3328,1356,4804,0,3416,8,8,120,200,43112,55212,46789,752,660,512,2348,2016,1792,1184,75031
118002,3175429,4416,3652,7388,2592,0,4804,13820,12,0,444,300,95277,80528,94348,2220,2132,1708,3576,59620,23080,28356,13308
40446,1055673,4324,3804,4168,0,2592,1356,1240,28472,24485,26388,24348,18992,19364,17384,7576,9480,6792,11432,1256,496,456,4416
40010,1073206,5212,7312,0,4168,7388,3328,3716,24197,15352,45680,17504,7260,5424,5864,19900,14128,12516,28816,25392,9320,10044,4304
28559,1060981,14372,0,7312,3804,3652,2764,2264,23708,24252,45948,22228,3064,3156,2852,10824,14236,11061,25796,16364,6388,6620,8132
46851,2175692,0,14372,5212,4324,4416,5048,2676,38525,57752,107868,48472,7632,9344,6572,15144,15664,20648,33032,9912,3920,4108,23501
87516,0,2175692,1060981,1073206,1055673,3175429,1061771,1064122,634546,636217,961150,605385,964026,920009,914924,685160,709216,700387,1201654,1344734,650151,692756,320196
0,87516,46851,28559,40010,40446,118002,18683,30355,81964,86937,136000,891642,119963,110138,103581,145828,146608,146327,248844,289502,132758,147703,1895974

