40631249,5154188,1079845,1798426,1996932,2002882,1572680,1140907,1611106,8853137,10297368,0
52901349,8095698,2418346,4301871,3759320,3853369,2751766,2349202,2444056,1802491,0,10297368
24484991,3895244,739387,1087486,1093386,1049000,1403632,1154123,8160399,0,1802491,8853137
23522420,2754244,740281,1395723,1504215,1490694,9283057,903709,0,8160399,2444056,1611106
24618051,3307724,829370,1501572,11747284,1353213,9843021,0,903709,1154123,2349202,1140907
22867079,3143506,1203286,1413529,1664831,1755365,0,9843021,9283057,1403632,2751766,1572680
33776953,4568527,12746929,2049238,14590397,0,1755365,1353213,1490694,1049000,3853369,2002882
32966184,4093324,1195423,1901515,0,14590397,1664831,11747284,1504215,1093386,3759320,1996932
26618129,9668719,9265997,0,1901515,2049238,1413529,1501572,1395723,1087486,4301871,1798426
24674016,3291658,0,9265997,1195423,12746929,1203286,829370,740281,739387,2418346,1079845
30679606,0,3291658,9668719,4093324,4568527,3143506,3307724,2754244,3895244,8095698,5154188
0,30679606,24674016,26618129,32966184,33776953,22867079,24618051,23522420,24484991,52901349,40631249

