1667670,508699,1513221,512797,498182,488647,489566,502266,495410,475370,487812,499947,494903,499604,505305,495033,0
805432,532854,1518026,513380,493361,503647,497412,493425,496322,487227,492677,500309,500980,494884,496257,0,495033
804967,525203,1533209,519837,500720,493836,492735,484321,498330,496584,486958,492042,500977,495292,0,496257,505305
816244,538745,1524512,529201,489674,498231,493628,498256,508424,493988,499588,502210,497878,0,495292,494884,499604
798259,533231,1528931,521275,500848,496313,491891,497527,493860,491916,498006,490247,0,497878,500977,500980,494903
786943,528929,1521881,521398,493076,494939,495918,490263,497796,494348,500861,0,490247,502210,492042,500309,499947
761478,528646,1521360,509596,474961,497891,493580,492718,489865,476742,0,500861,498006,499588,486958,492677,487812
811850,524347,1518785,508420,486229,491227,496857,486033,492299,0,476742,494348,491916,493988,496584,487227,475370
782083,522451,1514667,507759,498756,490708,500175,482892,0,492299,489865,497796,493860,508424,498330,496322,495410
767227,521942,1525741,512363,489640,484369,500480,0,482892,486033,492718,490263,497527,498256,484321,493425,502266
785193,520013,1524030,504836,487200,490711,0,500480,500175,496857,493580,495918,491891,493628,492735,497412,489566
2708221,521655,1520445,517243,493280,0,490711,484369,490708,491227,497891,494939,496313,498231,493836,503647,488647
793078,516309,1525657,510089,0,493280,487200,489640,498756,486229,474961,493076,500848,489674,500720,493361,498182
669868,498586,1515343,0,510089,517243,504836,512363,507759,508420,509596,521398,521275,529201,519837,513380,512797
2901412,1501919,0,1515343,1525657,1520445,1524030,1525741,1514667,1518785,1521360,1521881,1528931,1524512,1533209,1518026,1513221
685796,0,1501919,498586,516309,521655,520013,521942,522451,524347,528646,528929,533231,538745,525203,532854,508699
0,685796,2901412,669868,793078,2708221,785193,767227,782083,811850,761478,786943,798259,816244,804967,805432,1667670

