54983196,57005865,49891972,47482406,53491395,54194370,55437579,55105548,0
61890804,62959408,44889127,51902076,25588517,43368798,22834748,0,55105548
64353892,63832028,45547184,52373749,25130161,44551557,0,22834748,55437579
54219418,53928280,47623463,46913197,44363597,0,44551557,43368798,54194370
58238999,60116401,44481414,52073269,0,44363597,25130161,25588517,53491395
52497749,51503118,44945671,0,52073269,46913197,52373749,51902076,47482406
51788431,52837230,0,44945671,44481414,47623463,45547184,44889127,49891972
56378443,0,52837230,51503118,60116401,53928280,63832028,62959408,57005865
0,56378443,51788431,52497749,58238999,54219418,64353892,61890804,54983196

