2516412,468288,6276,4680,4700,5252,13702,4064,4100,4514,4324,4264,10962,4736,33014,17660,21001,16988,15959,26268,17763,26394,22762,25242,20020,23781,24501,131442,1110445,3598581,1532919,1790506,1622568,872742,1105288,572033,323973,476081,384999,209785,1575189,0
451690,2154301,9076,1808,1624,252,256,392,232,5184,328,3524,484,504,113512,0,0,0,72,10568,0,1392,0,0,0,0,308,451548,62224,29816,12540,6588,33996,18920,18048,125204,6372,13112,51896,41276,0,1575189
106602,570485,7288,1376,1900,200,340,624,260,4244,2400,13144,11072,3856,1992,0,0,0,0,8184,0,340,0,28396,30548,17480,12708,32296,4920,8332,4552,2292,6076,2908,3228,2240,31224,43656,23356,0,41276,209785
120599,567382,7240,1484,2380,368,324,552,440,5100,13828,10632,4088,6796,1988,0,144,432,24,9688,0,344,0,29100,16168,36476,14496,38068,23432,25220,20164,11856,14312,13304,12560,11848,28860,40484,0,23356,51896,384999
177351,882284,13984,3152,3384,608,848,516,528,6388,10068,14888,10440,17728,3752,0,0,0,0,11904,288,500,12,31580,28480,31512,55780,51020,8288,13796,8564,3584,10152,4388,4356,4744,45404,0,40484,43656,13112,476081
125959,578392,9112,2436,2332,500,276,472,532,4992,7948,12212,5920,9624,3292,0,144,288,0,8208,144,368,144,26352,34912,28880,16508,39596,6240,10596,6152,2880,7352,3564,3404,3076,0,45404,28860,31224,6372,323973
119863,638233,3268,748,892,116,5408,6096,8248,12124,96,1080,156,332,1784,0,0,144,0,17072,12868,26940,29200,0,0,0,0,17700,24124,8792,5068,2180,38892,39500,25712,0,3076,4744,11848,2240,125204,572033
135105,643971,4592,1004,1268,180,10984,5292,10212,9944,244,2636,264,556,1344,0,0,156,0,33252,21128,33360,17784,0,0,0,0,16112,31144,10512,5188,2096,36824,38176,0,25712,3404,4356,12560,3228,18048,1105288
141039,650948,4420,732,1644,132,10760,9768,7380,9752,220,2720,308,544,1216,0,0,0,0,36684,25992,13072,31708,0,0,0,0,16184,33620,10852,5128,2012,35772,0,38176,39500,3564,4388,13304,2908,18920,872742
130531,665603,4092,1096,1516,212,7552,10756,7008,10376,324,1912,344,496,1416,0,144,144,0,32652,24160,24692,19240,0,0,0,144,16624,34164,14028,9500,5072,0,35772,36824,38892,7352,10152,14312,6076,33996,1622568
83948,416385,8192,8968,4424,6348,516,208,124,2868,192,2252,148,288,1320,20776,15300,13788,16308,6244,32,248,32,0,0,60,156,15996,25144,19296,27096,0,5072,2012,2096,2180,2880,3584,11856,2292,6588,1790506
145690,709906,17588,11620,13112,7104,312,708,380,3944,260,4652,536,424,1932,30280,26640,30960,22956,9752,48,424,48,0,0,0,36,25628,52352,46860,0,27096,9500,5128,5188,5068,6152,8564,20164,4552,12540,1532919
130555,649732,13260,13624,5276,10956,628,524,144,3656,256,3356,272,660,1764,32312,13848,20492,34808,6772,4,532,64,0,0,0,8,26452,48624,0,46860,19296,14028,10852,10512,8792,10596,13796,25220,8332,29816,3598581
166248,809861,19116,5988,19236,9244,420,588,284,2992,468,3852,464,656,2796,17888,43992,39736,22696,11140,48,456,64,0,0,0,8,29468,0,48624,52352,25144,34164,33620,31144,24124,6240,8288,23432,4920,62224,1110445
256624,1850240,5688,3040,6844,47596,120,36,0,860,0,1500,204,168,338345,1208,1196,932,4040,13132,4732,4800,1008,1052,680,1096,1212,0,29468,26452,25628,15996,16624,16184,16112,17700,39596,51020,38068,32296,451548,131442
