2517307,470848,30489,7380,6144,4272,43243,4120,4060,4528,43075,48210,36769,58889,209891,51989,46400,53886,36985380,34435112,26845419,36318016,13641453,14985080,16141405,20349817,0
239059,1184734,3776,15528,12972,428,34520,10916,7816,17136,0,8,0,19828,112448,34612,58388,55744,14844,13752,11804,15620,61120,42640,29300,0,20349817
238701,1219655,4184,19504,10016,1004,44056,5768,7812,15148,0,8,0,18068,111796,53984,58860,33004,17300,19332,18988,15360,71748,42412,0,29300,16141405
246459,1181255,3384,19020,9852,700,41172,7140,8636,14948,0,8,0,20032,96104,60172,67472,40596,15364,16948,14428,12888,50548,0,42412,42640,14985080
248901,1190290,3304,17532,11376,780,41325,11900,9888,13136,0,128,0,21728,136536,32164,34248,61240,32612,32260,27940,28440,0,50548,71748,61120,13641453
234001,1205515,37060,29252,15264,5872,3320,688,364,5820,32612,51724,39336,78936,66152,1800,2364,1228,35876,40988,25092,0,28440,12888,15360,15620,36318016
246192,1246793,39893,23716,18272,8936,4528,1176,668,6556,45220,41188,32536,93908,65696,296,2340,2916,38328,38384,0,25092,27940,14428,18988,11804,26845419
291092,1356864,52588,16136,15420,7100,4136,452,316,7888,55192,60708,47412,62204,108356,1220,2320,1780,70492,0,38384,40988,32260,16948,19332,13752,34435112
279908,1361193,43352,17656,15352,12976,2800,688,212,4584,45956,60788,40788,69544,106176,1796,1780,732,0,70492,38328,35876,32612,15364,17300,14844,36985380
134405,992663,26416,4248,3748,1676,120032,12197,28844,23860,1588,3512,972,6540,23820,61772,41696,0,732,1780,2916,1228,61240,40596,33004,55744,53886
159442,1159368,29516,3588,4316,2716,115808,27912,21880,26601,972,1548,968,6220,36356,34668,0,41696,1780,2320,2340,2364,34248,67472,58860,58388,46400
132145,980964,25860,4032,3616,1612,102624,18500,18628,20492,1444,2692,860,6220,26532,0,34668,61772,1796,1220,296,1800,32164,60172,53984,34612,51989
129793,943449,22748,3584,4828,2004,101420,28420,14517,21444,1108,2252,960,5876,0,26532,36356,23820,106176,108356,65696,66152,136536,96104,111796,112448,209891
173482,1329859,155788,31624,35985,29921,15796,224,336,1284,50716,60264,46576,0,5876,6220,6220,6540,69544,62204,93908,78936,21728,20032,18068,19828,58889
124982,942818,116720,26813,18668,21132,12,248,8,1388,35876,40932,0,46576,960,860,968,972,40788,47412,32536,39336,0,0,0,0,36769
155726,1143753,140916,29068,35548,30496,60,8,24,1488,42844,0,40932,60264,2252,2692,1548,3512,60788,60708,41188,51724,128,8,8,8,48210
952926,1032913,130256,30588,21904,21612,60,44,272,1352,0,42844,35876,50716,1108,1444,972,1588,45956,55192,45220,32612,0,0,0,0,43075
40913,1056306,10568,2868,2460,812,5388,2752,2412,0,1352,1488,1388,1284,21444,20492,26601,23860,4584,7888,6556,5820,13136,14948,15148,17136,4528
38050,1058320,7972,3144,2356,720,1528,1296,0,2412,272,24,8,336,14517,18628,21880,28844,212,316,668,364,9888,8636,7812,7816,4060
38731,1055588,3792,2940,2664,868,1796,0,1296,2752,44,8,248,224,28420,18500,27912,12197,688,452,1176,688,11900,7140,5768,10916,4120
116347,4564111,12964,5140,4744,1472,0,1796,1528,5388,60,60,12,15796,101420,102624,115808,120032,2800,4136,4528,3320,41325,41172,44056,34520,43243
39577,1058467,4820,6240,1420,0,1472,868,720,812,21612,30496,21132,29921,2004,1612,2716,1676,12976,7100,8936,5872,780,700,1004,428,4272
38959,1061934,13344,4680,0,1420,4744,2664,2356,2460,21904,35548,18668,35985,4828,3616,4316,3748,15352,15420,18272,15264,11376,9852,10016,12972,6144
39863,1064626,13584,0,4680,6240,5140,2940,3144,2868,30588,29068,26813,31624,3584,4032,3588,4248,17656,16136,23716,29252,17532,19020,19504,15528,7380
105425,5283578,0,13584,13344,4820,12964,3792,7972,10568,130256,140916,116720,155788,22748,25860,29516,26416,43352,52588,39893,37060,3304,3384,4184,3776,30489
135473,0,5283578,1064626,1061934,1058467,4564111,1055588,1058320,1056306,1032913,1143753,942818,1329859,943449,980964,1159368,992663,1361193,1356864,1246793,1205515,1190290,1181255,1219655,1184734,470848
0,135473,105425,39863,38959,39577,116347,38731,38050,40913,952926,155726,124982,173482,129793,132145,159442,134405,279908,291092,246192,234001,248901,246459,238701,239059,2517307

