2621390,466360,29593,4728,5016,4396,56142,33695,51733,46005,42250,229077,1114791,5949231,919700,2484671,20182065,0
970442,4773555,6312,24648,11596,2436,252380,80196,312,0,8,908796,472148,124848,71512,44864,0,20182065
238697,1109311,41612,25712,18741,9220,13088,107304,71664,44616,42880,35552,70388,67968,122896,0,44864,2484671
361580,1816062,70364,34252,18324,16908,21520,187924,61796,85728,61720,43848,99296,120288,0,122896,71512,919700
231079,1129269,39760,28424,20204,8088,12152,109444,19536,52076,71184,26148,58588,0,120288,67968,124848,5949231
224391,1112442,33612,36204,12256,8572,12548,107868,56180,31232,48912,22504,0,58588,99296,70388,472148,1114791
544342,4077436,121964,5216,5484,1120,721237,47780,6100,9056,6760,0,22504,26148,43848,35552,908796,229077
161819,1236447,148024,36452,32556,23745,4,44020,56464,36120,0,6760,48912,71184,61720,42880,8,42250
153894,1150617,147405,39576,32556,22388,112,37548,64232,0,36120,9056,31232,52076,85728,44616,0,46005
971728,1123344,132948,33580,25396,39640,40,27020,0,64232,56464,6100,56180,19536,61796,71664,312,51733
118734,913459,112088,21165,19652,23068,38824,0,27020,37548,44020,47780,107868,109444,187924,107304,80196,33695
189255,7728277,11136,5380,3184,1748,0,38824,40,112,4,721237,12548,12152,21520,13088,252380,56142
39879,1061422,8764,4984,2096,0,1748,23068,39640,22388,23745,1120,8572,8088,16908,9220,2436,4396
26379,1056534,14576,5024,0,2096,3184,19652,25396,32556,32556,5484,12256,20204,18324,18741,11596,5016
38951,1065182,21340,0,5024,4984,5380,21165,33580,39576,36452,5216,36204,28424,34252,25712,24648,4728
104937,5284683,0,21340,14576,8764,11136,112088,132948,147405,148024,121964,33612,39760,70364,41612,6312,29593
135280,0,5284683,1065182,1056534,1061422,7728277,913459,1123344,1150617,1236447,4077436,1112442,1129269,1816062,1109311,4773555,466360
0,135280,104937,38951,26379,39879,189255,118734,971728,153894,161819,544342,224391,231079,361580,238697,970442,2621390

