658958986,409353683,287648849,263624797,302098128,274175905,251660369,239552176,9072668369,0
911279843,1607514424,1350116463,1289310844,1067009562,1179416265,1132736080,1086934847,0,9072668369
647607698,1005532041,1163655445,928196760,684672842,785827028,858933803,0,1086934847,239552176
422223673,485742475,617971905,640538835,339180164,458620314,0,858933803,1132736080,251660369
419558359,416053814,460345535,493896033,580326025,0,458620314,785827028,1179416265,274175905
445384286,422206934,426706999,438350401,0,580326025,339180164,684672842,1067009562,302098128
922172536,549196889,615629084,0,438350401,493896033,640538835,928196760,1289310844,263624797
892882719,630821119,0,615629084,426706999,460345535,617971905,1163655445,1350116463,287648849
633449171,0,630821119,549196889,422206934,416053814,485742475,1005532041,1607514424,409353683
0,633449171,892882719,922172536,445384286,419558359,422223673,647607698,911279843,658958986

