2654863,465912,8172,30998,4368,4260,12862,40512,5628,48214,32028,40973,69528,98174,48816,116504,18443153,12593153,9234482,5983391,12757405,6181184,12504477,0
322561,1572392,21776,14260,788,1248,13200,64996,21728,492,0,964,28480,88228,89364,138936,25284,29092,16160,31568,91156,67996,0,12504477
329067,1574945,19928,11948,920,964,10204,65256,24268,288,0,896,26240,76312,80904,175436,26668,28900,15024,35064,86464,0,67996,6181184
333265,1643581,19836,13192,628,1036,13316,65760,24564,336,0,952,28400,88340,74564,169976,51800,50900,34452,49324,0,86464,91156,12757405
193301,971866,13188,33720,6256,9124,808,3684,6428,26324,43824,29056,57192,2888,1256,66992,54476,50220,28784,0,49324,35064,31568,5983391
212768,1019873,16724,45424,4760,6144,408,5432,9688,40436,27336,28960,79732,1460,1320,64920,53760,52776,0,28784,34452,15024,16160,9234482
336706,1632183,33652,62700,12620,10496,1512,6764,18352,60344,58320,65308,101704,4236,2640,100776,84324,0,52776,50220,50900,28900,29092,12593153
308407,1553819,20561,59892,10592,9764,816,7740,15052,63548,51072,60824,85364,3328,2936,100176,0,84324,53760,54476,51800,26668,25284,18443153
188925,1396724,5868,13628,22176,2404,46816,166604,24448,1808,2144,4972,12844,72648,70644,0,100176,100776,64920,66992,169976,175436,138936,116504
178498,1351478,5696,12896,19936,1408,34576,145605,36872,1960,1804,3068,9136,58700,0,70644,2936,2640,1320,1256,74564,80904,89364,48816
185665,1327658,5932,12124,24224,2944,26421,202556,26853,6220,1940,4268,13956,0,58700,72648,3328,4236,1460,2888,88340,76312,88228,98174
990292,1275069,43004,138360,36673,29920,108,22268,3800,65556,49540,60532,0,13956,9136,12844,85364,101704,79732,57192,28400,26240,28480,69528
138555,1070173,23280,132916,22928,14216,236,1096,4060,44732,35968,0,60532,4268,3068,4972,60824,65308,28960,29056,952,896,964,40973
132362,1033296,19824,118140,15184,28617,60,8,3692,42928,0,35968,49540,1940,1804,2144,51072,58320,27336,43824,0,0,0,32028
144683,1069185,29088,128737,21484,24476,240,332,3868,0,42928,44732,65556,6220,1960,1808,63548,60344,40436,26324,336,288,492,48214
38034,1060348,4124,16860,2164,2232,1552,5392,0,3868,3692,4060,3800,26853,36872,24448,15052,18352,9688,6428,24564,24268,21728,5628
138811,5611434,4084,11372,2080,2088,3500,0,5392,332,8,1096,22268,202556,145605,166604,7740,6764,5432,3684,65760,65256,64996,40512
28591,1062615,5148,5000,764,660,0,3500,1552,240,60,236,108,26421,34576,46816,816,1512,408,808,13316,10204,13200,12862
39581,1056983,2404,12280,2880,0,660,2088,2232,24476,28617,14216,29920,2944,1408,2404,9764,10496,6144,9124,1036,964,1248,4260
39044,1060454,2312,8364,0,2880,764,2080,2164,21484,15184,22928,36673,24224,19936,22176,10592,12620,4760,6256,628,920,788,4368
125938,5286454,22104,0,8364,12280,5000,11372,16860,128737,118140,132916,138360,12124,12896,13628,59892,62700,45424,33720,13192,11948,14260,30998
22187,1059990,0,22104,2312,2404,5148,4084,4124,29088,19824,23280,43004,5932,5696,5868,20561,33652,16724,13188,19836,19928,21776,8172
135398,0,1059990,5286454,1060454,1056983,1062615,5611434,1060348,1069185,1033296,1070173,1275069,1327658,1351478,1396724,1553819,1632183,1019873,971866,1643581,1574945,1572392,465912
0,135398,22187,125938,39044,39581,28591,138811,38034,144683,132362,138555,990292,185665,178498,188925,308407,336706,212768,193301,333265,329067,322561,2654863

