436636,58353,4259,616,659,556,8582,7433,11410,9831,9340,48625,184854,1093225,147343,455832,4433439,0
172357,327255,1387,4163,1990,476,32832,13344,52,0,1,137000,80674,27842,12609,7743,0,4433439
42445,77656,5709,4115,2756,1268,3045,17615,11274,7295,6892,8172,12106,11580,21432,0,7743,455832
64079,123259,9487,5538,2827,2330,4910,30861,9770,13461,9941,9531,17169,20904,0,21432,12609,147343
40983,78518,5567,4522,2934,1178,2796,17960,3314,8296,11310,5853,10007,0,20904,11580,27842,1093225
39896,77130,4687,5431,1890,1204,2868,17719,8916,4928,7931,5046,0,10007,17169,12106,80674,184854
80283,984386,15310,795,764,143,126607,7829,1016,1805,1047,0,5046,5853,9531,8172,137000,48625
23888,300128,24755,6014,5653,3961,1,7665,10043,6304,0,1047,7931,11310,9941,6892,1,9340
22758,279164,24623,6505,5381,3661,26,6565,11254,0,6304,1805,4928,8296,13461,7295,0,9831
128838,272053,22509,5611,4262,6629,6,4697,0,11254,10043,1016,8916,3314,9770,11274,52,11410
17567,221781,18716,3526,3233,3965,6471,0,4697,6565,7665,7829,17719,17960,30861,17615,13344,7433
27795,7664793,2778,992,643,407,0,6471,6,26,1,126607,2868,2796,4910,3045,32832,8582
6618,1051078,2038,943,474,0,407,3965,6629,3661,3961,143,1204,1178,2330,1268,476,556
3962,1046344,3012,984,0,474,643,3233,4262,5381,5653,764,1890,2934,2827,2756,1990,659
6466,1052353,3935,0,984,943,992,3526,5611,6505,6014,795,5431,4522,5538,4115,4163,616
15870,5239293,0,3935,3012,2038,2778,18716,22509,24623,24755,15310,4687,5567,9487,5709,1387,4259
16984,0,5239293,1052353,1046344,1051078,7664793,221781,272053,279164,300128,984386,77130,78518,123259,77656,327255,58353
0,16984,15870,6466,3962,6618,27795,17567,128838,22758,23888,80283,39896,40983,64079,42445,172357,436636

