303411793,306091716,275913664,268058696,291051244,294627664,297914136,296666440,0
328254699,327319180,254764680,282851796,178195136,248732828,165950012,0,296666440
339181903,332535916,257461432,285119688,175913252,254142776,0,165950012,297914136
299703896,293246056,267577504,264680808,254489024,0,254142776,248732828,294627664
315560123,318806476,255084692,284955276,0,254489024,175913252,178195136,291051244
291072506,283473728,256421108,0,284955276,264680808,285119688,282851796,268058696
287342733,288442112,0,256421108,255084692,267577504,257461432,254764680,275913664
306137363,0,288442112,283473728,318806476,293246056,332535916,327319180,306091716
0,306137363,287342733,291072506,315560123,299703896,339181903,328254699,303411793

