13341246,4024976,12057456,4058216,3969952,3894864,3904636,4004084,3949556,3788052,3888120,3972676,3927220,3964732,4016116,3934752,0
6443347,4180088,12080664,4051520,3931304,4014640,3965320,3931048,3956028,3881788,3926664,3981520,3985508,3936520,3950236,0,3934752
6439638,4112904,12195140,4098788,3988728,3935372,3926580,3857968,3970552,3956268,3880128,3915180,3983616,3939984,0,3950236,4016116
6529850,4210832,12116220,4160196,3895784,3966188,3929292,3965288,4046772,3931252,3976536,3992116,3957288,0,3939984,3936520,3964732
6385974,4173868,12156684,4110576,3987072,3952476,3917612,3960708,3933132,3915792,3965968,3896996,0,3957288,3983616,3985508,3927220
6295446,4145496,12102912,4108856,3927280,3943196,3951732,3905728,3966084,3938556,3990900,0,3896996,3992116,3915180,3981520,3972676
6091726,4164920,12120648,4033860,3790088,3974392,3940096,3932980,3910300,3803960,0,3990900,3965968,3976536,3880128,3926664,3888120
6494702,4127580,12099936,4021668,3879008,3920284,3965944,3878764,3929136,0,3803960,3938556,3915792,3931252,3956268,3881788,3788052
6256566,4114776,12066400,4020604,3979968,3917232,3992836,3854516,0,3929136,3910300,3966084,3933132,4046772,3970552,3956028,3949556
6137718,4107344,12152700,4054160,3907112,3866012,3996168,0,3854516,3878764,3932980,3905728,3960708,3965288,3857968,3931048,4004084
6281446,4095132,12143472,3995232,3888308,3918500,0,3996168,3992836,3965944,3940096,3951732,3917612,3929292,3926580,3965320,3904636
17826870,4106344,12110084,4092160,3936612,0,3918500,3866012,3917232,3920284,3974392,3943196,3952476,3966188,3935372,4014640,3894864
6344518,4061260,12150440,4032180,0,3936612,3888308,3907112,3979968,3879008,3790088,3927280,3987072,3895784,3988728,3931304,3969952
5358770,3964292,12096128,0,4032180,4092160,3995232,4054160,4020604,4021668,4033860,4108856,4110576,4160196,4098788,4051520,4058216
23211118,11989960,0,12096128,12150440,12110084,12143472,12152700,12066400,12099936,12120648,12102912,12156684,12116220,12195140,12080664,12057456
5486310,0,11989960,3964292,4061260,4106344,4095132,4107344,4114776,4127580,4164920,4145496,4173868,4210832,4112904,4180088,4024976
0,5486310,23211118,5358770,6344518,17826870,6281446,6137718,6256566,6494702,6091726,6295446,6385974,6529850,6439638,6443347,13341246

