                                     | Core 0     | Core 1    
  Instructions                       |  846892093 |  840737843
  Cycles                             |  351313200 |  351313200
  IPC                                |       2.41 |       2.39
  Time (ns)                          |   87828300 |   87828300
  Idle time (ns)                     |       1402 |    1384339
  Idle time (%)                      |       0.0% |       1.6%
Branch predictor stats               |            |           
  num correct                        |   49929774 |   48025032
  num incorrect                      |     307419 |     301171
  misprediction rate                 |      0.61% |      0.62%
  mpki                               |       0.36 |       0.36
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   74865109 |   74753046
    num misses                       |        268 |         25
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  280751313 |  279502663
    num misses                       |     168528 |     170807
    miss rate                        |      0.06% |      0.06%
    mpki                             |       0.20 |       0.20
  L2 TLB                             |            |           
    num accesses                     |     168796 |     170832
    num misses                       |      51901 |      50885
    miss rate                        |     30.75% |     29.79%
    mpki                             |       0.06 |       0.06
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   74865109 |   74753046
    num cache misses                 |      27170 |      15225
    miss rate                        |      0.04% |      0.02%
    mpki                             |       0.03 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |  280751313 |  279502663
    num cache misses                 |   31583361 |   31590532
    miss rate                        |     11.25% |     11.30%
    mpki                             |      37.29 |      37.57
  Cache L2                           |            |           
    num cache accesses               |   32008233 |   32000949
    num cache misses                 |    3207439 |    3185652
    miss rate                        |     10.02% |      9.95%
    mpki                             |       3.79 |       3.79
  Cache L3                           |            |           
    num cache accesses               |    4927634 |    5002444
    num cache misses                 |    3021828 |    3098435
    miss rate                        |     61.32% |     61.94%
    mpki                             |       3.57 |       3.69
DRAM summary                         |            |           
  num dram accesses                  |   11520217 |          0
  average dram access latency (ns)   |    5334.18 |        inf
  average dram queueing delay        |    5272.93 |       0.00
  average dram bandwidth utilization |     16.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |    2052597 |    2142397
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
