                                     | Core 0     | Core 1    
  Instructions                       |  278873931 |  280214050
  Cycles                             |  108144960 |  108144960
  IPC                                |       2.58 |       2.59
  Time (ns)                          |   49156800 |   49156800
  Idle time (ns)                     |        383 |     322630
  Idle time (%)                      |       0.0% |       0.7%
Branch predictor stats               |            |           
  num correct                        |    1385036 |    2050207
  num incorrect                      |      17490 |      10042
  misprediction rate                 |      1.25% |      0.49%
  mpki                               |       0.06 |       0.04
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   26428003 |   26263262
    num misses                       |        324 |         38
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  128514443 |  128399239
    num misses                       |      15716 |       4330
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.06 |       0.02
  L2 TLB                             |            |           
    num accesses                     |      16040 |       4368
    num misses                       |        529 |        164
    miss rate                        |      3.30% |      3.75%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   26428003 |   26263262
    num cache misses                 |      81986 |      57568
    miss rate                        |      0.31% |      0.22%
    mpki                             |       0.29 |       0.21
  Cache L1-D                         |            |           
    num cache accesses               |  128514443 |  128399239
    num cache misses                 |     857301 |     820799
    miss rate                        |      0.67% |      0.64%
    mpki                             |       3.07 |       2.93
  Cache L2                           |            |           
    num cache accesses               |     962510 |     898136
    num cache misses                 |      60779 |      52750
    miss rate                        |      6.31% |      5.87%
    mpki                             |       0.22 |       0.19
  Cache L3                           |            |           
    num cache accesses               |     109817 |      96907
    num cache misses                 |      13855 |       3333
    miss rate                        |     12.62% |      3.44%
    mpki                             |       0.05 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |      17159 |          0
  average dram access latency (ns)   |      61.80 |        inf
  average dram queueing delay        |       0.55 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6703 |         36
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
