1509939,458141,459903,460095,481221,458698,464996,466434,459139,465866,462802,458883,458285,462983,467476,463924,0
360751,151368,151502,153711,172236,150487,157955,155114,152207,151661,152582,148098,145022,154610,151669,0,463924
873381,154096,149534,150595,165733,151948,153359,157900,157612,150583,152817,151939,153056,152676,0,151669,467476
410390,151843,157334,152704,164739,152053,151630,150594,149116,152041,150731,148968,151339,0,152676,154610,462983
411009,147027,152957,149383,166576,151637,157019,151977,148246,152323,149556,150371,0,151339,153056,145022,458285
358044,152102,149341,153457,168861,155549,151285,156584,155288,149876,155123,0,150371,148968,151939,148098,458883
374960,152106,154626,150947,170084,150352,150895,154643,149009,151880,0,155123,149556,150731,152817,152582,462802
364905,154157,155090,144515,171107,152181,150816,155166,151454,0,151880,149876,152323,152041,150583,151661,465866
393286,152149,153380,152729,174526,160861,149952,157699,0,151454,149009,155288,148246,149116,157612,152207,459139
407012,146359,155991,157040,176387,157730,152378,0,157699,155166,154643,156584,151977,150594,157900,155114,466434
393491,150612,149476,148581,169835,157208,0,152378,149952,150816,150895,151285,157019,151630,153359,157955,464996
374020,153498,150795,147172,177102,0,157208,157730,160861,152181,150352,155549,151637,152053,151948,150487,458698
416188,172569,171703,171905,0,177102,169835,176387,174526,171107,170084,168861,166576,164739,165733,172236,481221
347571,150478,152993,0,171905,147172,148581,157040,152729,144515,150947,153457,149383,152704,150595,153711,460095
1375890,150461,0,152993,171703,150795,149476,155991,153380,155090,154626,149341,152957,157334,149534,151502,459903
322740,0,150461,150478,172569,153498,150612,146359,152149,154157,152106,152102,147027,151843,154096,151368,458141
0,322740,1375890,347571,416188,374020,393491,407012,393286,364905,374960,358044,411009,410390,873381,360751,1509939

