208276,21409,740,615,4,280,4,555,537,4,2973,2305,1767,1797,2032,2859,2093,2255,2331,11407,447651,101454,466990,186710,37312,29991,26511,30190,58733,0
24553,44716,186,373,0,3539,0,531,243,0,4511,729,0,0,51,222,0,0,120,32653,1203,1585,1265,1897,2785,929,996,1150,0,58733
12666,22295,102,195,0,1712,0,1499,1178,0,178,273,6,0,45,1837,3110,1665,2754,3048,556,917,657,811,4069,2083,2662,0,1150,30190
12248,22459,44,113,0,1126,0,1825,759,0,171,604,6,0,93,2158,1948,2708,1917,3496,622,854,639,788,3229,2020,0,2662,996,26511
11330,20070,89,163,0,1454,0,1151,1189,0,179,413,0,0,48,1528,1536,2305,2883,2933,488,855,558,680,3751,0,2020,2083,929,29991
13299,22497,177,93,0,1877,0,1101,1458,0,156,345,0,0,51,4436,1657,2128,1434,3307,1481,1666,1535,1502,0,3751,3229,4069,2785,37312
13149,21125,1012,1499,0,1840,0,273,131,0,147,2866,690,3497,2394,236,0,0,26,4084,3388,4030,3377,0,1502,680,788,811,1897,186710
13102,22713,1401,1179,0,2012,0,285,98,0,141,4392,1529,2215,1828,105,0,0,52,3927,2869,3477,0,3377,1535,558,639,657,1265,466990
13157,22907,812,1645,0,1694,0,288,106,0,182,4573,3436,278,1116,147,0,0,25,3798,4048,0,3477,4030,1666,855,854,917,1585,101454
14046,22286,1606,1173,0,2086,0,412,121,0,189,790,2576,2774,3718,234,0,0,53,4061,0,4048,2869,3388,1481,488,622,556,1203,447651
11877,139407,2065,481,0,560,0,86,0,0,21019,1054,58,59,708,219,39,24,63,0,4061,3798,3927,4084,3307,2933,3496,3048,32653,11407
5999,65066,769,301,0,328,12,3671,3715,0,31,160,23,15,8,1314,1782,1945,0,63,53,25,52,26,1434,2883,1917,2754,120,2331
5920,65684,725,355,0,322,0,4547,4052,0,1,157,24,16,20,2387,1155,0,1945,24,0,0,0,0,2128,2305,2708,1665,0,2255
5709,62619,669,331,0,360,0,4196,3685,0,1,112,12,9,58,2232,0,1155,1782,39,0,0,0,0,1657,1536,1948,3110,0,2093
6394,75111,753,375,0,354,0,3991,4264,0,379,154,16,21,61,0,2232,2387,1314,219,234,147,105,236,4436,1528,2158,1837,222,2859
6276,64426,4583,5438,13,506,0,23,13,0,13,1214,2562,2155,0,61,58,20,8,708,3718,1116,1828,2394,51,48,93,45,51,2032
6195,63231,4804,4462,0,520,0,2,0,0,3,2531,1430,0,2155,21,9,16,15,59,2774,278,2215,3497,0,0,0,0,0,1797
107421,66141,4623,5226,0,548,0,0,2,1,1,3082,0,1430,2562,16,12,24,23,58,2576,3436,1529,690,0,0,6,6,0,1767
7247,75769,5474,5416,0,590,0,263,225,1,226,0,3082,2531,1214,154,112,157,160,1054,790,4573,4392,2866,345,413,604,273,729,2305
4563,1083755,462,468,0,568,3,527,500,25,0,226,1,3,13,379,1,1,31,21019,189,182,141,147,156,179,171,178,4511,2973
360,48,1,3,3,0,68,23,297,0,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6707,1046118,475,557,0,678,52,718,0,297,500,225,2,0,13,4264,3685,4052,3715,0,121,106,98,131,1458,1189,759,1178,243,537
6850,1048724,552,543,16,772,5,0,718,23,527,263,0,2,23,3991,4196,4547,3671,86,412,288,285,273,1101,1151,1825,1499,531,555
351,40,5,1,1,8,0,5,52,68,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4
353,29,1173,1202,68,0,8,772,678,0,568,590,548,520,506,354,360,322,328,560,2086,1694,2012,1840,1877,1454,1126,1712,3539,280
357,43,23,31,0,68,1,16,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7608,1053603,1192,0,31,1202,1,543,557,3,468,5416,5226,4462,5438,375,331,355,301,481,1173,1645,1179,1499,93,163,113,195,373,615
3728,1045846,0,1192,23,1173,5,552,475,1,462,5474,4623,4804,4583,753,669,725,769,2065,1606,812,1401,1012,177,89,44,102,186,740
6796,0,1045846,1053603,43,29,40,1048724,1046118,48,1083755,75769,66141,63231,64426,75111,62619,65684,65066,139407,22286,22907,22713,21125,22497,20070,22459,22295,44716,21409
0,6796,3728,7608,357,353,351,6850,6707,360,4563,7247,107421,6195,6276,6394,5709,5920,5999,11877,14046,13157,13102,13149,13299,11330,12248,12666,24553,208276

