12079501,3649792,3665032,3663408,3834500,3657020,3711480,3714680,3658784,3714380,3689044,3655940,3656712,3691340,3725936,3698332,0
2885977,1202464,1201376,1219976,1369392,1196436,1256436,1229884,1204480,1204404,1213888,1175280,1153292,1228876,1207024,0,3698332
6987037,1225328,1185856,1196052,1316392,1208352,1220432,1250504,1247432,1195120,1215440,1207256,1216724,1212668,0,1207024,3725936
3283109,1203196,1248204,1208988,1307428,1207536,1204792,1190896,1179120,1207476,1197424,1182652,1202216,0,1212668,1228876,3691340
3288061,1168228,1213724,1186828,1323984,1205156,1249840,1204232,1172996,1212048,1190124,1194680,0,1202216,1216724,1153292,3656712
2864341,1206372,1181484,1213748,1337688,1237952,1204060,1235076,1225672,1190264,1232628,0,1194680,1182652,1207256,1175280,3655940
2999669,1209012,1229856,1200272,1352288,1196852,1201848,1227456,1181724,1207108,0,1232628,1190124,1197424,1215440,1213888,3689044
2919229,1224740,1229908,1146516,1357752,1208296,1199076,1227564,1197160,0,1207108,1190264,1212048,1207476,1195120,1204404,3714380
3146277,1199784,1212532,1204208,1383392,1272444,1186448,1245372,0,1197160,1181724,1225672,1172996,1179120,1247432,1204480,3658784
3256085,1154772,1231208,1240588,1397404,1248724,1209084,0,1245372,1227564,1227456,1235076,1204232,1190896,1250504,1229884,3714680
3147917,1197804,1188840,1180888,1351480,1249196,0,1209084,1186448,1199076,1201848,1204060,1249840,1204792,1220432,1256436,3711480
2992149,1220400,1195924,1167412,1407924,0,1249196,1248724,1272444,1208296,1196852,1237952,1205156,1207536,1208352,1196436,3657020
3329493,1366668,1363476,1361472,0,1407924,1351480,1397404,1383392,1357752,1352288,1337688,1323984,1307428,1316392,1369392,3834500
2780557,1189588,1210572,0,1361472,1167412,1180888,1240588,1204208,1146516,1200272,1213748,1186828,1208988,1196052,1219976,3663408
9087470,1191616,0,1210572,1363476,1195924,1188840,1231208,1212532,1229908,1229856,1181484,1213724,1248204,1185856,1201376,3665032
2581916,0,1191616,1189588,1366668,1220400,1197804,1154772,1199784,1224740,1209012,1206372,1168228,1203196,1225328,1202464,3649792
0,2581916,9087470,2780557,3329493,2992149,3147917,3256085,3146277,2919229,2999669,2864341,3288061,3283109,6987037,2885977,12079501

