1408968,179184,103228,4516,29500,70833,105076138,134831991,0
372745,1779472,293416,69484,90633,130100,216624,0,134831991
331075,1557647,258564,60972,86784,120132,0,216624,105076138
982462,1297867,168648,62077,238508,0,120132,130100,70833
110693,4275144,257816,29128,0,238508,86784,90633,29500
36982,1063714,57452,0,29128,62077,60972,69484,4516
216447,1531253,0,57452,257816,168648,258564,293416,103228
52936,0,1531253,1063714,4275144,1297867,1557647,1779472,179184
0,52936,216447,36982,110693,982462,331075,372745,1408968

