                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11    
  Instructions                       |  1800361733 |  1805257175 |  1803100007 |  1810444511 |  1694104024 |  1693756341 |  1722566191 |  1767861711 |  1850085598 |  1850812774 |  1843454486 |  1848696844
  Cycles                             |  2511473200 |  2511473200 |  2511473200 |  2511473200 |   627868300 |   627868300 |   627868300 |   627868300 |  2511473200 |  2511473200 |  2511473200 |  2511473200
  IPC                                |        0.72 |        0.72 |        0.72 |        0.72 |        2.70 |        2.70 |        2.74 |        2.82 |        0.74 |        0.74 |        0.73 |        0.74
  Time (ns)                          |   627868300 |   627868300 |   627868300 |   627868300 |   627868300 |   627868300 |   627868300 |   627868300 |   627868300 |   627868300 |   627868300 |   627868300
  Idle time (ns)                     |         353 |      500665 |      504971 |      508943 |      512812 |      516703 |      520534 |      524428 |      528259 |      532165 |      536058 |      539939
  Idle time (%)                      |        0.0% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    47190011 |    49420328 |    48701514 |    51149677 |    12368854 |    12251979 |    25510814 |    40608421 |    68017346 |    68259930 |   336407359 |   338155008
  num incorrect                      |       42494 |       32032 |       32020 |       32025 |       31634 |       31424 |       27789 |       27539 |       27785 |       27783 |       18473 |       18273
  misprediction rate                 |       0.09% |       0.06% |       0.07% |       0.06% |       0.26% |       0.26% |       0.11% |       0.07% |       0.04% |       0.04% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.01 |        0.01
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   158348199 |   157995406 |   157995215 |   157995215 |   157995215 |   157995068 |   157003193 |   157003193 |   157003193 |   157003046 |    79675971 |    79675972
    num misses                       |         266 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38
