                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9696846 |    4394793 |   84090374 |   84062934 |  171984076 |   84315817 |   96471553 |   97383518 |   99665042 |  100406201 |  390815795 |  368981144 |  344918662 |  340573331 |    4562128
  Cycles                             |  321051750 |  321051750 |  321051750 |  321051750 |  243556500 |  243556500 |  243556500 |  243556500 |  321051750 |  321051750 |  321051750 |  321051750 |  243556500 |  243556500 |  243556500
  IPC                                |       0.03 |       0.01 |       0.26 |       0.26 |       0.71 |       0.35 |       0.40 |       0.40 |       0.31 |       0.31 |       1.22 |       1.15 |       1.42 |       1.40 |       0.02
  Time (ns)                          |  110707500 |  110707500 |  110707500 |  110707500 |  110707500 |  110707500 |  110707500 |  110707500 |  110707500 |  110707500 |  110707500 |  110707500 |  110707500 |  110707500 |  110707500
  Idle time (ns)                     |  107733589 |  108598704 |   61093082 |   61468218 |   12144789 |   60890181 |   93327012 |   93184045 |   95414207 |   95295466 |    6390820 |    7949768 |   10030728 |    9572658 |  109027533
  Idle time (%)                      |      97.3% |      98.1% |      55.2% |      55.5% |      11.0% |      55.0% |      84.3% |      84.2% |      86.2% |      86.1% |       5.8% |       7.2% |       9.1% |       8.6% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279453 |     172925 |    4227121 |    4224765 |    8658495 |    4237889 |     144975 |     151096 |     154739 |     154073 |   46539008 |   44095962 |   41016367 |   41116846 |     463124
  num incorrect                      |       7667 |        734 |        647 |        631 |       1478 |        626 |       2602 |       2765 |       2719 |       2758 |    1992189 |    2083050 |    1980334 |    2037503 |      11028
  misprediction rate                 |      0.60% |      0.42% |      0.02% |      0.01% |      0.02% |      0.01% |      1.76% |      1.80% |      1.73% |      1.76% |      4.10% |      4.51% |      4.61% |      4.72% |      2.33%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.10 |       5.65 |       5.74 |       5.98 |       2.42
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529909 |     430473 |    6352665 |    6347436 |   13010269 |    6367476 |    5425575 |    5483507 |    5612687 |    5651682 |   44232346 |   42227124 |   39468690 |   38933233 |     618368
    num misses                       |        113 |         36 |         35 |         32 |         32 |         34 |         39 |         39 |         39 |         38 |         46 |         48 |         40 |         40 |         41
